Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-12-31 00:00:00,4771500000.0,1308800000.0,3462699800.0,497800000.0,1612799700.0,-782800000.0,595900000.0,830000000.0,158000000.0,672000000.0,,594900000.0,1.43,0.7257,0.338,0.1739,0.1247,0.3014,2904999900.0,1612799700.0,1.5886,1.6042,1.6042,672000000.0,672000000.0,0.6088,0.4541,AMT
2015-09-30 00:00:00,4537789000.0,1229506000.0,3308282800.0,483565000.0,1556643900.0,-779944000.0,593709000.0,776699900.0,144691000.0,632009000.0,,557564000.0,1.37,0.7291,0.343,0.1712,0.1229,0.2952,2748292000.0,1556643800.0,1.5269,1.5428,1.5428,632009000.0,632009000.0,0.6056,0.4647,AMT
2015-06-30 00:00:00,4338067000.0,1148319000.0,3189747800.0,477642000.0,1540525900.0,-738745000.0,587134000.0,801780900.0,60882000.0,740899000.0,,681239000.0,1.69,0.7353,0.3551,0.1848,0.157,0.2949,2640144000.0,1540525800.0,1.8142,1.8334,1.8334,740899000.0,740899000.0,0.6086,0.4838,AMT
2015-03-31 00:00:00,4195149000.0,1098136000.0,3097012800.0,459803000.0,1553250900.0,-679145000.0,584861000.0,874105900.0,68728000.0,805378000.0,,782021000.0,1.96,0.7382,0.3702,0.2084,0.1864,0.2975,2569940000.0,1553250800.0,2.0007,2.0219,2.0219,805378000.0,805378000.0,0.6126,0.5168,AMT
2014-12-31 00:00:00,4100048000.0,1094265000.0,3005782800.0,446542000.0,1486922000.0,-621218000.0,580234000.0,865703900.0,62505000.0,803199000.0,,801022000.0,2.02,0.7331,0.3627,0.2111,0.1954,0.283,2485854000.0,1486921900.0,2.0075,2.0285,2.0285,803199000.0,803199000.0,0.6063,0.5206,AMT
2014-09-30 00:00:00,3995702800.0,1068815000.0,2926887600.0,434245000.0,1433870700.0,-652287000.0,572133000.0,781584000.0,86057000.0,695527000.0,,732430000.0,1.84,0.7325,0.3589,0.1956,0.1833,0.2564,2426533800.0,1433870900.0,1.7402,1.7578,1.7578,695527000.0,695527000.0,0.6073,0.5066,AMT
2014-06-30 00:00:00,3765394800.0,985442000.0,2779952600.0,423117000.0,1357942700.0,-614607000.0,535256000.0,743336000.0,91217000.0,652119000.0,,712660000.0,1.8,0.7383,0.3606,0.1974,0.1893,0.2594,2286461800.0,1357942900.0,1.6338,1.6498,1.6498,652119000.0,652119000.0,0.6072,0.5011,AMT
2014-03-31 00:00:00,3542767800.0,918876000.0,2623891600.0,424421000.0,1268255700.0,-695715000.0,489837000.0,572541000.0,57968000.0,514573000.0,,582425000.0,1.47,0.7406,0.358,0.1616,0.1644,0.2447,2135955800.0,1268255900.0,1.2897,1.3026,1.3026,514573000.0,514573000.0,0.6029,0.4747,AMT
2013-12-31 00:00:00,3361406800.0,859873000.0,2501533700.0,415545000.0,1214304700.0,-672556000.0,458296000.0,541749000.0,59541000.0,482208000.0,,551333000.0,1.39,0.7442,0.3612,0.1612,0.164,0.2602,2022045800.0,1214304900.0,1.2081,1.2206,1.2206,482208000.0,482208000.0,0.6015,0.4757,AMT
2013-09-30 00:00:00,3187812000.0,802510000.0,2385302000.0,388147000.0,1200611900.0,-607638000.0,422959000.0,592974000.0,66548000.0,526426000.0,,587030000.0,1.48,0.7483,0.3766,0.186,0.1841,0.2519,1945524000.0,1200611800.0,1.318,1.3322,1.3322,526436000.0,526436000.0,0.6103,0.4524,AMT
2013-06-30 00:00:00,3093267000.0,786585000.0,2306682000.0,371825000.0,1187284900.0,-528242000.0,418896000.0,659043000.0,64016000.0,595027000.0,,638996000.0,1.61,0.7457,0.3838,0.2131,0.2066,0.2631,1891336000.0,1187284800.0,1.4886,1.5052,1.5052,595039000.0,595039000.0,0.6114,0.4642,AMT
2013-03-31 00:00:00,2982171000.0,753260000.0,2228911000.0,348870000.0,1144958900.0,-501083000.0,418314000.0,643876000.0,99278000.0,544598000.0,,587384000.0,1.48,0.7474,0.3839,0.2159,0.197,0.2802,1836474000.0,1144958800.0,1.3625,1.3778,1.3778,544615000.0,544615000.0,0.6158,0.4716,AMT
2012-12-31 00:00:00,2875960000.0,722479000.0,2153481000.0,327301000.0,1119718900.0,-418425000.0,401665000.0,701294000.0,107304000.0,593990000.0,35000.0,637283000.0,1.61,0.7488,0.3893,0.2438,0.2216,0.2943,1775085000.0,1119718800.0,1.4877,1.5047,1.5047,594025000.0,594025000.0,0.6172,0.4918,AMT
