Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,2306535900.0,371565000.0,1934970900.0,424739000.0,1078945000.0,423486900.0,13198000.0,,436685000.0,96037000.0,340648000.0,340648000.0,5.63,0.8389,0.1836,0.1893,0.1477,0.2572,506859900.0,423487000.0,5.6076,5.6377,5.6377,340648000.0,340648000.0,0.2197,0.2958,FFIV
2019-12-31 00:00:00,2267981900.0,358505000.0,1909476900.0,412025000.0,1007070000.0,482581900.0,20773000.0,,503355000.0,107999000.0,395356000.0,395356000.0,6.56,0.8419,0.2128,0.2219,0.1743,0.2598,556066900.0,482582000.0,6.5366,6.5743,6.5743,395356000.0,395356000.0,0.2452,0.306,FFIV
2019-09-30 00:00:00,2242446900.0,356577000.0,1885869900.0,408058000.0,959349000.0,518462900.0,22648000.0,,541111000.0,113377000.0,427734000.0,427734000.0,7.11,0.841,0.2312,0.2413,0.1907,0.2873,586969900.0,518463000.0,7.075,7.1237,7.1237,427734000.0,427734000.0,0.2618,0.3335,FFIV
2019-06-30 00:00:00,2214767900.0,359099000.0,1855668900.0,400324000.0,879578000.0,557340900.0,24918000.0,,582259000.0,116481000.0,465778000.0,465778000.0,7.74,0.8379,0.2516,0.2629,0.2103,0.2915,619395900.0,557340900.0,7.6635,7.7368,7.7368,465778000.0,465778000.0,0.2797,0.3369,FFIV
2019-03-31 00:00:00,2193576900.0,359341000.0,1834235900.0,377491000.0,831765000.0,606553900.0,22455000.0,,629009000.0,126393000.0,502616000.0,502616000.0,8.32,0.8362,0.2765,0.2868,0.2291,0.3148,664241900.0,606553900.0,8.2279,8.3178,8.3178,502616000.0,502616000.0,0.3028,0.3546,FFIV
2018-12-31 00:00:00,2181985900.0,360808000.0,1821177900.0,372233000.0,823401000.0,607117900.0,17811000.0,,624929000.0,128764000.0,496165000.0,496165000.0,8.17,0.8346,0.2782,0.2864,0.2274,0.3212,665429900.0,607117900.0,8.0607,8.1578,8.1578,496165000.0,496165000.0,0.305,0.3524,FFIV
2018-09-30 00:00:00,2161406900.0,361481000.0,1799925900.0,366084000.0,824517000.0,590898900.0,12861000.0,,603760000.0,150071000.0,453689000.0,453689000.0,7.42,0.8328,0.2734,0.2793,0.2099,0.3278,650389900.0,590898900.0,7.3159,7.4057,7.4057,453689000.0,453689000.0,0.3009,0.3521,FFIV
2018-06-30 00:00:00,2136696000.0,358582000.0,1778114100.0,356485000.0,822244000.0,586142000.0,12221000.0,,598363000.0,141812000.0,456551100.0,456551000.0,7.37,0.8322,0.2743,0.28,0.2137,0.3404,645768000.0,586142000.0,7.2826,7.3595,7.3595,456551100.0,456551100.0,0.3022,0.3603,FFIV
2018-03-31 00:00:00,2112330000.0,357343000.0,1754987100.0,351026000.0,817384000.0,573333000.0,12551000.0,,585884000.0,154414000.0,431470100.0,431470000.0,6.89,0.8308,0.2714,0.2774,0.2043,0.3409,634252000.0,573333000.0,6.8085,6.8738,6.8738,431470100.0,431470100.0,0.3003,0.3552,FFIV
2017-12-31 00:00:00,2097274000.0,355610000.0,1741664100.0,349204000.0,810852000.0,568499000.0,11063000.0,,579562000.0,164590000.0,414972100.0,414972000.0,6.54,0.8304,0.2711,0.2763,0.1979,0.339,629940000.0,568499000.0,6.4742,6.5333,6.5333,414972100.0,414972100.0,0.3004,0.3533,FFIV
