Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,11120000000.0,3807000000.0,7313000000.0,2807000000.0,3014000000.0,,-754000000.0,658000000.0,2260000000.0,58000000.0,2202000000.0,2062000000.0,2.91,0.6576,0.271,0.2032,0.1854,0.2556,7330000000.0,3014000000.0,3.1212,,4.1728,,4.1728,2202000000.0,2202000000.0,0.6592,0.2871,WBD
2019-12-31 00:00:00,11144000000.0,3819000000.0,7325000000.0,2788000000.0,3009000000.0,,-715000000.0,677000000.0,2294000000.0,81000000.0,2213000000.0,2069000000.0,2.89,0.6573,0.27,0.2059,0.1857,0.2791,7364000000.0,3009000000.0,3.1124,,4.1833,,4.1833,2213000000.0,2213000000.0,0.6608,0.305,WBD
2019-09-30 00:00:00,11079000000.0,3728000000.0,7351000000.0,2652000000.0,3015000000.0,,-790000000.0,677000000.0,2225000000.0,224000000.0,2001000000.0,1862000000.0,2.59,0.6635,0.2721,0.2008,0.1681,0.2525,7424000000.0,3015000000.0,2.8333,,3.8578,,3.8578,2001000000.0,2001000000.0,0.6701,0.2794,WBD
2019-06-30 00:00:00,10993000000.0,3748000000.0,7245000000.0,2659000000.0,2765000000.0,,-806000000.0,699000000.0,1959000000.0,120000000.0,1839000000.0,1717000000.0,2.4,0.6591,0.2515,0.1782,0.1562,0.2628,7258000000.0,2765000000.0,2.6061,,3.5608,,3.5608,1839000000.0,1839000000.0,0.6602,0.2798,WBD
2019-03-31 00:00:00,10953000000.0,3805000000.0,7148000000.0,2637000000.0,2504000000.0,,-894000000.0,734000000.0,1610000000.0,514000000.0,1096000000.0,986000000.0,1.37,0.6526,0.2286,0.147,0.09,0.257,7315000000.0,2504000000.0,1.5703,,2.158,,2.158,1096000000.0,1096000000.0,0.6679,0.2701,WBD
2018-12-31 00:00:00,10553000000.0,3935000000.0,6618000000.0,2620000000.0,1934000000.0,,-912000000.0,729000000.0,1022000000.0,341000000.0,681000000.0,594000000.0,0.83,0.6271,0.1833,0.0968,0.0563,0.2302,6620000000.0,1934000000.0,0.9898,,1.3674,,1.3674,681000000.0,681000000.0,0.6273,0.2441,WBD
2018-09-30 00:00:00,9608000000.0,3734000000.0,5874000000.0,2470000000.0,386000000.0,,-908000000.0,715000000.0,-522000000.0,233000000.0,-755000000.0,-819000000.0,-1.54,0.6114,0.0402,-0.0543,-0.0852,0.2122,5840000000.0,386000000.0,-1.4303,,-2.2264,,-2.2264,-755000000.0,-755000000.0,0.6078,0.2195,WBD
2018-06-30 00:00:00,8667000000.0,3470000000.0,5197000000.0,2260000000.0,450000000.0,,-986000000.0,666000000.0,-536000000.0,131000000.0,-667000000.0,-718000000.0,-1.13,0.5996,0.0519,-0.0618,-0.0828,0.2034,5210000000.0,450000000.0,-1.2291,,-1.8992,,-1.8992,-667000000.0,-667000000.0,0.6011,0.2195,WBD
2018-03-31 00:00:00,7567000000.0,3109000000.0,4458000000.0,1962000000.0,430000000.0,,-860000000.0,561000000.0,-430000000.0,101000000.0,-531000000.0,-560000000.0,-0.78,0.5891,0.0568,-0.0568,-0.074,0.1847,4861000000.0,430000000.0,-0.9144,,-1.3761,,-1.3761,-531000000.0,-531000000.0,0.6424,0.2027,WBD
2017-12-31 00:00:00,6873000000.0,2656000000.0,4217000000.0,1768000000.0,713000000.0,,-850000000.0,475000000.0,-137000000.0,176000000.0,-313000000.0,-337000000.0,-0.4,0.6136,0.1037,-0.0199,-0.049,0.2174,4280000000.0,713000000.0,-0.5434,,-0.8151,,-0.8151,-313000000.0,-313000000.0,0.6227,0.237,WBD
2017-09-30 00:00:00,6681000000.0,2556000000.0,4125000000.0,1724000000.0,2075000000.0,,-702000000.0,404000000.0,1373000000.0,240000000.0,1133000000.0,1111000000.0,2.11,0.6174,0.3106,0.2055,0.1663,0.2381,4275000000.0,2075000000.0,1.9461,,2.9322,,2.9322,1133000000.0,1133000000.0,0.6399,0.2564,WBD
2017-06-30 00:00:00,6586000000.0,2478000000.0,4108000000.0,1686000000.0,2100000000.0,,-570000000.0,359000000.0,1530000000.0,395000000.0,1135000000.0,1112000000.0,1.91,0.6237,0.3189,0.2323,0.1688,0.1989,4242000000.0,2100000000.0,1.9294,,2.9165,,2.9165,1135000000.0,1135000000.0,0.6441,0.2176,WBD
2017-03-31 00:00:00,6549000000.0,2447000000.0,4102000000.0,1697000000.0,2056000000.0,,-489000000.0,359000000.0,1567000000.0,397000000.0,1170000000.0,1146000000.0,1.92,0.6264,0.3139,0.2393,0.175,0.2219,3711000000.0,2056000000.0,1.9457,,2.9541,,2.9541,1170000000.0,1170000000.0,0.5667,0.2402,WBD
2016-12-31 00:00:00,6497000000.0,2432000000.0,4065000000.0,1690000000.0,2058000000.0,,-387000000.0,353000000.0,1671000000.0,453000000.0,1218000000.0,1194000000.0,1.97,0.6257,0.3168,0.2572,0.1838,0.1989,4153000000.0,2058000000.0,1.9968,,3.0373,,3.0373,1218000000.0,1218000000.0,0.6392,0.2124,WBD
2016-09-30 00:00:00,6471000000.0,2427000000.0,4044000000.0,1672000000.0,1974000000.0,,-420000000.0,349000000.0,1554000000.0,419000000.0,1135000000.0,1223000000.0,1.79,0.6249,0.3051,0.2401,0.189,0.2133,4059000000.0,1974000000.0,1.8226,,2.7805,,2.7805,1135000000.0,1135000000.0,0.6273,0.2281,WBD
2016-06-30 00:00:00,6472000000.0,2409000000.0,4063000000.0,1647000000.0,2021000000.0,,-375000000.0,340000000.0,1646000000.0,453000000.0,1193000000.0,1222000000.0,1.85,0.6278,0.3123,0.2543,0.1888,0.1848,4094000000.0,2021000000.0,1.8822,,2.866,,2.866,1193000000.0,1193000000.0,0.6326,0.1993,WBD
2016-03-31 00:00:00,6418000000.0,2370000000.0,4048000000.0,1677000000.0,1992000000.0,,-428000000.0,326000000.0,1564000000.0,497000000.0,1067000000.0,1100000000.0,1.63,0.6307,0.3104,0.2437,0.1714,0.1884,4063000000.0,1992000000.0,1.6497,,2.5078,,2.5078,1067000000.0,1067000000.0,0.6331,0.2015,WBD
2015-12-31 00:00:00,6394000000.0,2343000000.0,4051000000.0,1669000000.0,1985000000.0,,-426000000.0,330000000.0,1559000000.0,511000000.0,1048000000.0,1034000000.0,1.59,0.6336,0.3104,0.2438,0.1617,0.1863,4024000000.0,1985000000.0,1.5975,,2.426,,2.426,1048000000.0,1048000000.0,0.6293,0.2024,WBD
2015-09-30 00:00:00,6424000000.0,2301000000.0,4123000000.0,1669000000.0,2020000000.0,,-440000000.0,329000000.0,1580000000.0,523000000.0,1057000000.0,1135000000.0,1.63,0.6418,0.3144,0.246,0.1767,0.1504,4066000000.0,2020000000.0,1.6006,,2.425,,2.425,1057000000.0,1057000000.0,0.6329,0.1677,WBD
