Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-03-31 00:00:00,8587166000.0,4949785000.0,3637381100.0,1123880900.0,1593600100.0,,-194626000.0,322241000.0,1398974100.0,1398974100.0,1398973900.0,6.52,0.4236,0.1856,0.1629,0.1629,0.0813,2567186000.0,1593600100.0,6.4729,6.5006,6.5006,1398974100.0,1398973900.0,0.299,0.3302,RCL
2016-12-31 00:00:00,8496401000.0,5015539000.0,3480862000.0,1108741900.0,1477205100.0,,-193817000.0,307370000.0,1283388100.0,1283388100.0,1283387900.0,5.98,0.4097,0.1739,0.1511,0.1511,0.0026,2424915000.0,1477205100.0,5.9329,5.9583,5.9583,1283388100.0,1283387900.0,0.2854,0.2962,RCL
2016-09-30 00:00:00,8488851000.0,5065629000.0,3423221800.0,1121899000.0,1430281400.0,,-201180000.0,290930000.0,1229101400.0,1229101400.0,1229101000.0,5.71,0.4033,0.1685,0.1448,0.1448,-0.0268,2392901300.0,1430281400.0,5.6733,5.6977,5.6977,1229101400.0,1229101400.0,0.2819,0.2756,RCL
2016-06-30 00:00:00,8448210000.0,5112532000.0,3335677800.0,1118632000.0,953323400.0,,-188692000.0,275139000.0,764631400.0,764631400.0,764631000.0,3.52,0.3948,0.1128,0.0905,0.0905,-0.0393,1883779400.0,953323400.0,3.4934,3.5106,3.5106,764631400.0,764631400.0,0.223,0.2577,RCL
2016-03-31 00:00:00,8401270000.0,5118354000.0,3282916000.0,1101998000.0,932347600.0,,-212654000.0,273012000.0,719693600.0,719693600.0,719693000.0,3.29,0.3908,0.111,0.0857,0.0857,0.0523,1834169600.0,932347600.0,3.267,3.2837,3.2837,719693600.0,719693600.0,0.2183,0.2378,RCL
2015-12-31 00:00:00,8299074000.0,5099393000.0,3199680900.0,1086504000.0,874902400.0,,-209119000.0,277725000.0,665783400.0,665783400.0,665783000.0,3.04,0.3855,0.1054,0.0802,0.0802,0.0401,1754063400.0,874902400.0,3.0168,3.0326,3.0326,665783400.0,665783400.0,0.2114,0.2345,RCL
2015-09-30 00:00:00,8214847000.0,5170797000.0,3044049400.0,1075035000.0,744327400.0,,-175576000.0,277966000.0,568751700.0,568751700.0,568752000.0,2.59,0.3706,0.0906,0.0692,0.0692,-0.0878,1610380400.0,744327800.0,2.5776,2.5922,2.5922,568751700.0,568751700.0,0.196,0.2303,RCL
2015-06-30 00:00:00,8080509000.0,5210653000.0,2869855400.0,1058637000.0,1015784500.0,,-185572000.0,271247000.0,830212800.0,830212800.0,830213000.0,3.75,0.3552,0.1257,0.1027,0.1027,-0.0616,1863543500.0,1015784900.0,3.733,3.7552,3.7552,830212800.0,830212800.0,0.2306,0.2355,RCL
2015-03-31 00:00:00,8002230000.0,5224918000.0,2777311200.0,1045477000.0,950074300.0,,-167156000.0,259887000.0,782918600.0,782918600.0,782919000.0,3.53,0.3471,0.1187,0.0978,0.0978,0.017,1784245300.0,950074700.0,3.512,3.5337,3.5337,782918600.0,782918600.0,0.223,0.2317,RCL
2014-12-31 00:00:00,8073855000.0,5306281000.0,2767573300.0,1048952000.0,941858500.0,,-177713000.0,258299000.0,764145800.0,764145800.0,764146000.0,3.44,0.3428,0.1167,0.0946,0.0946,0.0189,1769296400.0,941858900.0,3.426,3.4474,3.4474,764145800.0,764145800.0,0.2191,0.216,RCL
2014-09-30 00:00:00,8110187000.0,5344196000.0,2765991200.0,1053840000.0,897484700.0,,-236088000.0,269640000.0,661396900.0,661396900.0,661396000.0,2.97,0.3411,0.1107,0.0816,0.0816,0.1323,1667169600.0,897484900.0,2.9565,2.9741,2.9741,661396900.0,661396900.0,0.2056,0.2024,RCL
2014-06-30 00:00:00,8033174000.0,5334115000.0,2699059200.0,1064132000.0,812231700.0,,-275382000.0,289194000.0,536849900.0,536849900.0,536849000.0,2.43,0.336,0.1011,0.0668,0.0668,0.1133,1578009600.0,812231900.0,2.4212,2.4352,2.4352,536849900.0,536849900.0,0.1964,0.2017,RCL
2014-03-31 00:00:00,7935898000.0,5327060000.0,2608838200.0,1061092000.0,729982800.0,,-306059000.0,310811000.0,423924000.0,423924000.0,423923000.0,1.92,0.3287,0.092,0.0534,0.0534,0.0912,1489064700.0,729983000.0,1.9171,1.9283,1.9283,423924000.0,423924000.0,0.1876,0.1873,RCL
2013-12-31 00:00:00,7959894000.0,5305270000.0,2654624200.0,1044819000.0,798148800.0,,-324456000.0,332422000.0,473693000.0,473693000.0,473692000.0,2.15,0.3335,0.1003,0.0595,0.0595,0.0814,1552859800.0,798149000.0,2.144,2.1566,2.1566,473693000.0,473693000.0,0.1951,0.1774,RCL
2013-09-30 00:00:00,7911886000.0,5280593000.0,2631292900.0,1037430000.0,441872000.0,,-368001000.0,345749000.0,73871200.0,73871200.0,73871000.0,0.32,0.3326,0.0558,0.0093,0.0093,0.0055,1194497000.0,441872200.0,0.3214,0.3221,0.3221,73871200.0,73871200.0,0.151,0.182,RCL
2013-06-30 00:00:00,7826527000.0,5212117000.0,2614409800.0,1031353000.0,449800000.0,,-373851000.0,351072000.0,75949200.0,75949200.0,75949000.0,0.35,0.334,0.0575,0.0097,0.0097,0.0148,1195934900.0,449800200.0,0.3438,0.3454,0.3454,75949200.0,75949200.0,0.1528,0.188,RCL
2013-03-31 00:00:00,7764764000.0,5184512000.0,2580251800.0,1020976000.0,433366800.0,,-385818000.0,353301000.0,47549000.0,47549000.0,47549000.0,0.22,0.3323,0.0558,0.0061,0.0061,0.0161,1173831700.0,433367000.0,0.2148,0.2159,0.2159,47549000.0,47549000.0,0.1512,0.1813,RCL
2012-12-31 00:00:00,7688024000.0,5157434000.0,2530589700.0,1011543000.0,403109700.0,,-384823000.0,355785000.0,18286900.0,18286900.0,18287000.0,0.09,0.3292,0.0524,0.0024,0.0024,0.013,1133602600.0,403109900.0,0.0833,0.0838,0.0838,18286900.0,18286900.0,0.1475,0.1797,RCL
