Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2018-06-30 00:00:00,9291000000.0,9291000000.0,4483000000.0,4522000000.0,-491000000.0,4031000000.0,1167000000.0,2864000000.0,2684000000.0,1.99,1.0,0.4867,0.4339,0.2889,0.3132,5189000000.0,4522000000.0,2.1066,2.1289,2.1289,2864000000.0,2864000000.0,0.5585,0.3658,SCHW
2018-03-31 00:00:00,8935000000.0,8935000000.0,4368000000.0,4290000000.0,-481000000.0,3809000000.0,1236000000.0,2573000000.0,2401000000.0,1.79,1.0,0.4801,0.4263,0.2687,0.0609,4933000000.0,4290000000.0,1.8973,1.9171,1.9171,2573000000.0,2573000000.0,0.5521,0.1104,SCHW
2017-12-31 00:00:00,8618000000.0,8618000000.0,4252000000.0,4097000000.0,-447000000.0,3650000000.0,1296000000.0,2354000000.0,2180000000.0,1.63,1.0,0.4754,0.4235,0.253,-0.1438,4708000000.0,4097000000.0,1.7399,1.758,1.758,2354000000.0,2354000000.0,0.5463,-0.0974,SCHW
2017-09-30 00:00:00,8348000000.0,8348000000.0,4135000000.0,3952000000.0,-431000000.0,3521000000.0,1242000000.0,2279000000.0,2108000000.0,1.58,1.0,0.4734,0.4218,0.2525,0.5677,4538000000.0,3952000000.0,1.69,1.7064,1.7064,2279000000.0,2279000000.0,0.5436,0.6085,SCHW
2017-06-30 00:00:00,8097000000.0,8097000000.0,4052000000.0,3793000000.0,-423000000.0,3370000000.0,1206000000.0,2164000000.0,2003000000.0,1.51,1.0,0.4684,0.4162,0.2474,0.112,4352000000.0,3793000000.0,1.6103,1.6248,1.6248,2164000000.0,2164000000.0,0.5375,0.1509,SCHW
2017-03-31 00:00:00,7795000000.0,7795000000.0,3969000000.0,3583000000.0,-402000000.0,3181000000.0,1140000000.0,2041000000.0,1879000000.0,1.42,1.0,0.4597,0.4081,0.2411,0.2598,4118000000.0,3583000000.0,1.5238,1.537,1.537,2041000000.0,2041000000.0,0.5283,0.3072,SCHW
2016-12-31 00:00:00,7478000000.0,7478000000.0,3872000000.0,3372000000.0,-379000000.0,2993000000.0,1104000000.0,1889000000.0,1746000000.0,1.33,1.0,0.4509,0.4002,0.2335,0.4355,3872000000.0,3372000000.0,1.4161,1.4267,1.4267,1889000000.0,1889000000.0,0.5178,0.4818,SCHW
2016-09-30 00:00:00,7197000000.0,7197000000.0,3793000000.0,3173000000.0,-359000000.0,2814000000.0,1031000000.0,1783000000.0,1646000000.0,1.26,1.0,0.4409,0.391,0.2287,0.2129,3628000000.0,3173000000.0,1.3388,1.3495,1.3495,1783000000.0,1783000000.0,0.5041,0.2593,SCHW
2016-06-30 00:00:00,6880000000.0,6880000000.0,3702000000.0,2950000000.0,-347000000.0,2603000000.0,947000000.0,1656000000.0,1541000000.0,1.18,1.0,0.4288,0.3783,0.224,0.4608,3370000000.0,2950000000.0,1.2448,1.2553,1.2553,1656000000.0,1656000000.0,0.4898,0.5096,SCHW
2016-03-31 00:00:00,6618000000.0,6618000000.0,3600000000.0,2792000000.0,-342000000.0,2450000000.0,893000000.0,1557000000.0,1465000000.0,1.12,1.0,0.4219,0.3702,0.2214,0.2894,3188000000.0,2792000000.0,1.1719,1.182,1.182,1557000000.0,1557000000.0,0.4817,0.3297,SCHW
