Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-11-30 00:00:00,4296300000.0,2559000000.0,1737299800.0,1127400000.0,548400000.0,,-52200000.0,53300000.0,,496200000.0,131300000.0,364900000.0,401600000.0,1.57,0.4044,0.1276,0.1155,0.0935,0.1075,654300000.0,548400000.0,1.4122,1.4254,1.4254,364900000.0,364900000.0,0.1523,0.1373,MKC
2015-08-31 00:00:00,4268000000.0,2546300000.0,1721700000.0,1124100000.0,535600000.0,,-51000000.0,51900000.0,,484600000.0,120500000.0,364100000.0,400400000.0,1.56,0.4034,0.1255,0.1135,0.0938,0.0985,638900000.0,535600200.0,1.3802,1.3928,1.3928,357900000.0,357900000.0,0.1497,0.1276,MKC
2015-05-31 00:00:00,4250900000.0,2531000000.0,1719900000.0,1113100000.0,554200000.0,,-49700000.0,50700000.0,,504500000.0,114200000.0,390300000.0,425700000.0,1.655,0.4046,0.1304,0.1187,0.1001,0.0894,655900100.0,554200200.0,1.4768,1.4896,1.4896,384100000.0,384100000.0,0.1543,0.1194,MKC
2015-02-28 00:00:00,4260200000.0,2531800000.0,1728400000.0,1122700000.0,572100000.0,,-49500000.0,50200000.0,,522600000.0,130900000.0,391700000.0,425900000.0,1.65,0.4057,0.1343,0.1227,0.1,0.0924,672900100.0,572100200.0,1.5007,1.5135,1.5135,391700000.0,391700000.0,0.158,0.1227,MKC
2014-11-30 00:00:00,4243200000.0,2513000000.0,1730200000.0,1122000000.0,603000000.0,,-48600000.0,49700000.0,,554400000.0,145900000.0,408500000.0,437900000.0,1.69,0.4078,0.1421,0.1307,0.1032,0.0877,705700100.0,603000200.0,1.5591,1.5724,1.5724,408500000.0,408500000.0,0.1663,0.1187,MKC
2014-08-31 00:00:00,4239600000.0,2513400100.0,1726199800.0,1105900000.0,577699700.0,,-47900000.0,49200000.0,,529800000.0,136900000.0,392900000.0,419900000.0,1.61,0.4072,0.1363,0.125,0.099,0.0922,684899800.0,577699700.0,1.5127,1.5266,1.5266,399100000.0,399100000.0,0.1615,0.1211,MKC
2014-05-31 00:00:00,4213200000.0,2499500100.0,1713699800.0,1104600000.0,568799700.0,,-49500000.0,50800000.0,23500000.0,519300000.0,141100000.0,378200000.0,401400000.0,1.53,0.4067,0.135,0.1233,0.0953,0.0957,676599700.0,568799700.0,1.4482,1.4626,1.4626,384400000.0,384400000.0,0.1606,0.1221,MKC
2014-02-28 00:00:00,4182400000.0,2486800100.0,1695599800.0,1092200000.0,563099700.0,,-50000000.0,51800000.0,,513100000.0,140500000.0,372600000.0,395500000.0,1.505,0.4054,0.1346,0.1227,0.0946,0.0969,669699700.0,563099700.0,1.3983,1.4133,1.4133,372600000.0,372600000.0,0.1601,0.122,MKC
2013-11-30 00:00:00,4123400000.0,2457600100.0,1665799800.0,1075000000.0,550499700.0,,-51100000.0,53300000.0,,499400000.0,133600000.0,365800000.0,389000000.0,1.475,0.404,0.1335,0.1211,0.0943,0.0892,656499700.0,550499700.0,1.369,1.3845,1.3845,365800000.0,365800000.0,0.1592,0.1128,MKC
2013-08-31 00:00:00,4099200000.0,2453099900.0,1646100100.0,1069400000.0,576700100.0,,-53000000.0,55400000.0,,523700000.0,140000000.0,383700000.0,407500000.0,1.54,0.4016,0.1407,0.1278,0.0994,0.0797,679600100.0,576700000.0,1.4156,1.4324,1.4324,379100000.0,379100000.0,0.1658,0.1039,MKC
2013-05-31 00:00:00,4060500000.0,2430299900.0,1630200100.0,1057700000.0,572500100.0,,-51600000.0,54600000.0,,520900000.0,137700000.0,383200000.0,407500000.0,1.54,0.4015,0.141,0.1283,0.1004,0.0829,676400100.0,572500000.0,1.4115,1.4288,1.4288,378600000.0,378600000.0,0.1666,0.1092,MKC
2013-02-28 00:00:00,4041900000.0,2417699900.0,1624200100.0,1046400000.0,577800100.0,,-52900000.0,55000000.0,,524900000.0,137900000.0,387000000.0,409300000.0,1.545,0.4018,0.143,0.1299,0.1013,0.0889,681000200.0,577800000.0,1.4246,1.4421,1.4421,382400000.0,382400000.0,0.1685,0.1148,MKC
2012-11-30 00:00:00,4014200000.0,2396399900.0,1617800100.0,1039500000.0,578300100.0,,-52200000.0,54600000.0,,526100000.0,139800000.0,386300000.0,407800000.0,1.54,0.403,0.1441,0.1311,0.1016,0.0862,681100200.0,578300000.0,1.4382,1.4556,1.4556,386300000.0,386300000.0,0.1697,0.1133,MKC
