Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2019-06-30 00:00:00,15636000000.0,15636000000.0,9065000000.0,2780000000.0,-677000000.0,422000000.0,2103000000.0,594000000.0,1509000000.0,1477000000.0,2.93,1.0,0.1778,0.1345,0.0945,0.1228,3337000000.0,2780000000.0,2.9618,,2.9912,,2.9912,1509000000.0,,1509000000.0,0.2134,0.1443,MMC
2019-03-31 00:00:00,15021000000.0,15021000000.0,8663000000.0,2791000000.0,-519000000.0,349000000.0,2272000000.0,571000000.0,1701000000.0,1676000000.0,3.32,1.0,0.1858,0.1513,0.1116,0.1458,3285000000.0,2791000000.0,3.3368,,3.3699,,3.3699,1701000000.0,,1701000000.0,0.2187,0.1675,MMC
2018-12-31 00:00:00,14950000000.0,14950000000.0,8605000000.0,2761000000.0,-517000000.0,290000000.0,2244000000.0,574000000.0,1670000000.0,1650000000.0,3.26,1.0,0.1847,0.1501,0.1104,0.1416,3255000000.0,2761000000.0,3.2682,,3.3004,,3.3004,1670000000.0,,1670000000.0,0.2177,0.1624,MMC
2018-09-30 00:00:00,14923000000.0,14923000000.0,8556000000.0,2810000000.0,-148000000.0,257000000.0,2662000000.0,1123000000.0,1539000000.0,1526000000.0,3.02,1.0,0.1883,0.1784,0.1023,0.1189,3306000000.0,2810000000.0,2.9709,,3.0442,,3.0068,1539000000.0,,1541000000.0,0.2215,0.139,MMC
2018-06-30 00:00:00,14760000000.0,14760000000.0,8441000000.0,2804000000.0,10000000.0,248000000.0,2814000000.0,1157000000.0,1657000000.0,1643000000.0,3.24,1.0,0.19,0.1907,0.1113,0.1135,3296000000.0,2804000000.0,3.1887,,3.266,,3.2286,1657000000.0,,1659000000.0,0.2233,0.133,MMC
2018-03-31 00:00:00,14521000000.0,14521000000.0,8304000000.0,2814000000.0,-8000000.0,240000000.0,2806000000.0,1178000000.0,1628000000.0,1613000000.0,3.17,1.0,0.1938,0.1932,0.1111,0.1128,3300000000.0,2814000000.0,3.1168,,3.1952,,3.1578,1628000000.0,,1630000000.0,0.2273,0.1328,MMC
2017-12-31 00:00:00,14024000000.0,14024000000.0,8085000000.0,2655000000.0,-12000000.0,237000000.0,2643000000.0,1133000000.0,1510000000.0,1492000000.0,2.91,1.0,0.1893,0.1885,0.1064,0.114,3136000000.0,2655000000.0,2.87,,2.9474,,2.91,1510000000.0,,1512000000.0,0.2236,0.135,MMC
2017-09-30 00:00:00,13703000000.0,13703000000.0,8122000000.0,2385000000.0,204000000.0,226000000.0,2589000000.0,666000000.0,1923000000.0,1899000000.0,3.7,1.0,0.174,0.1889,0.1386,0.1269,2849000000.0,2385000000.0,3.6471,,3.7396,,3.691,1923000000.0,,1923000000.0,0.2079,0.1483,MMC
2017-06-30 00:00:00,13497000000.0,13497000000.0,7971000000.0,2422000000.0,155000000.0,213000000.0,2577000000.0,667000000.0,1910000000.0,1885000000.0,3.66,1.0,0.1794,0.1909,0.1397,0.1367,2875000000.0,2422000000.0,3.6164,,3.7055,,3.6569,1910000000.0,,1910000000.0,0.213,0.1571,MMC
2017-03-31 00:00:00,13378000000.0,13378000000.0,7845000000.0,2447000000.0,100000000.0,201000000.0,2547000000.0,664000000.0,1883000000.0,1856000000.0,3.59,1.0,0.1829,0.1904,0.1387,0.1442,2894000000.0,2447000000.0,3.5557,,3.6404,,3.5918,1883000000.0,,1883000000.0,0.2163,0.1636,MMC
2016-12-31 00:00:00,13211000000.0,13211000000.0,7694000000.0,2431000000.0,49000000.0,189000000.0,2480000000.0,685000000.0,1795000000.0,1768000000.0,3.41,1.0,0.184,0.1877,0.1338,0.1331,2869000000.0,2431000000.0,3.38,,3.4586,,3.41,1795000000.0,,1795000000.0,0.2172,0.1519,MMC
2016-09-30 00:00:00,13185000000.0,13185000000.0,7443000000.0,2625000000.0,-182000000.0,187000000.0,2443000000.0,709000000.0,1734000000.0,1707000000.0,3.28,1.0,0.1991,0.1853,0.1295,0.1339,3066000000.0,2625000000.0,3.3001,,3.3369,,3.3231,1734000000.0,,1735000000.0,0.2325,0.1525,MMC
2016-06-30 00:00:00,13165000000.0,13165000000.0,7504000000.0,2514000000.0,-139000000.0,181000000.0,2375000000.0,696000000.0,1679000000.0,1651000000.0,3.16,1.0,0.191,0.1804,0.1254,0.1325,2954000000.0,2514000000.0,3.1659,,3.2225,,3.1918,1679000000.0,,1682000000.0,0.2244,0.1523,MMC
2016-03-31 00:00:00,13014000000.0,13014000000.0,7458000000.0,2417000000.0,-128000000.0,173000000.0,2289000000.0,661000000.0,1628000000.0,1598000000.0,3.03,1.0,0.1857,0.1759,0.1228,0.1189,2850000000.0,2417000000.0,3.0216,,3.1031,,3.0505,1628000000.0,,1631000000.0,0.219,0.1406,MMC
2015-12-31 00:00:00,12893000000.0,12893000000.0,7334000000.0,2419000000.0,-112000000.0,163000000.0,2307000000.0,671000000.0,1636000000.0,1599000000.0,3.0,1.0,0.1876,0.1789,0.124,0.1214,2842000000.0,2419000000.0,2.98,,3.081,,3.01,1636000000.0,,1636000000.0,0.2204,0.1464,MMC
2015-09-30 00:00:00,12801000000.0,12801000000.0,7330000000.0,2361000000.0,-237000000.0,153000000.0,2124000000.0,599000000.0,1525000000.0,1518000000.0,2.82,1.0,0.1844,0.1659,0.1186,0.128,2772000000.0,2361000000.0,2.75,0.0507,2.9052,0.0514,2.78,1525000000.0,28000000.0,1554000000.0,0.2165,0.1537,MMC
