Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2016-09-30 00:00:00,13059000000.0,8318000000.0,4741000000.0,3483000000.0,1258000000.0,,-408000000.0,402000000.0,,850000000.0,147000000.0,703000000.0,0.0,706000000.0,2.01,0.363,0.0963,0.0651,0.0541,0.0921,1762000000.0,1258000000.0,1.9966,2.0199,2.0199,707000000.0,707000000.0,0.1349,0.1335,K
2016-06-30 00:00:00,13134000000.0,8424000000.0,4710000000.0,3528000000.0,1182000000.0,,-415000000.0,400000000.0,,767000000.0,151000000.0,616000000.0,0.0,619000000.0,1.76,0.3586,0.09,0.0584,0.0471,0.0924,1698000000.0,1182000000.0,1.7475,1.7647,1.7647,620000000.0,620000000.0,0.1293,0.1339,K
2016-03-31 00:00:00,13364000000.0,8683000000.0,4681000000.0,3536000000.0,1145000000.0,,-455000000.0,390000000.0,,690000000.0,130000000.0,560000000.0,-6000000.0,562000000.0,1.59,0.3503,0.0857,0.0516,0.0421,0.0739,1663000000.0,1145000000.0,1.5819,1.5936,1.5936,562000000.0,562000000.0,0.1244,0.1149,K
2015-12-31 00:00:00,13525000000.0,8844000000.0,4681000000.0,3590000000.0,1091000000.0,,-318000000.0,227000000.0,,773000000.0,159000000.0,614000000.0,,614000000.0,1.73,0.3461,0.0807,0.0572,0.0454,0.0841,1625000000.0,1091000000.0,1.7248,1.7344,1.7344,614000000.0,614000000.0,0.1201,0.125,K
2015-09-30 00:00:00,13897000000.0,9322000000.0,4575000000.0,3867000000.0,708000000.0,,-303000000.0,221000000.0,,405000000.0,40000000.0,365000000.0,-8000000.0,362000000.0,1.03,0.3292,0.0509,0.0291,0.026,0.0697,1223000000.0,708000000.0,1.034,1.0376,1.0376,361000000.0,361000000.0,0.088,0.1141,K
2015-06-30 00:00:00,14207000000.0,9573000000.0,4634000000.0,3895000000.0,739000000.0,,-294000000.0,219000000.0,,445000000.0,60000000.0,385000000.0,,381000000.0,1.08,0.3262,0.052,0.0313,0.0268,0.0778,1276000000.0,739000000.0,1.0832,1.087,1.087,381000000.0,381000000.0,0.0898,0.1211,K
2015-03-31 00:00:00,14394000000.0,9590000000.0,4804000000.0,4010000000.0,794000000.0,,-237000000.0,211000000.0,-7000000.0,557000000.0,97000000.0,460000000.0,,453000000.0,1.27,0.3338,0.0552,0.0387,0.0315,0.0731,1312000000.0,794000000.0,1.2727,1.2798,1.2798,454000000.0,454000000.0,0.0911,0.1171,K
2014-12-31 00:00:00,14580000000.0,9517000000.0,5063000000.0,4039000000.0,1024000000.0,,-199000000.0,209000000.0,,825000000.0,186000000.0,639000000.0,,632000000.0,1.76,0.3473,0.0702,0.0566,0.0433,0.0831,1527000000.0,1024000000.0,1.7583,1.7682,1.7682,633000000.0,633000000.0,0.1047,0.123,K
2014-09-30 00:00:00,14567000000.0,8577000000.0,5990000000.0,3284000000.0,2706000000.0,,-188000000.0,214000000.0,,2518000000.0,767000000.0,1751000000.0,,1743000000.0,4.84,0.4112,0.1858,0.1729,0.1197,0.0663,3273000000.0,2706000000.0,4.8104,4.8344,4.8344,1745000000.0,1745000000.0,0.2247,0.1095,K
2014-06-30 00:00:00,14644000000.0,8496000000.0,6148000000.0,3303000000.0,2845000000.0,,-187000000.0,216000000.0,-8000000.0,2658000000.0,805000000.0,1853000000.0,,1845000000.0,5.11,0.4198,0.1943,0.1815,0.126,0.0772,3386000000.0,2845000000.0,5.081,5.1065,5.1065,1846000000.0,1846000000.0,0.2312,0.1199,K
2014-03-31 00:00:00,14673000000.0,8459000000.0,6214000000.0,3266000000.0,2948000000.0,,-206000000.0,227000000.0,-6000000.0,2742000000.0,833000000.0,1909000000.0,,1902000000.0,5.26,0.4235,0.2009,0.1869,0.1296,0.0753,3483000000.0,2948000000.0,5.2252,5.2518,5.2518,1903000000.0,1903000000.0,0.2374,0.1184,K
2013-12-31 00:00:00,14792000000.0,8689000000.0,6103000000.0,3266000000.0,2837000000.0,,-231000000.0,235000000.0,,2606000000.0,792000000.0,1814000000.0,,1807000000.0,4.99,0.4126,0.1918,0.1762,0.1222,0.0791,3369000000.0,2837000000.0,4.9534,4.9807,4.9807,1808000000.0,1808000000.0,0.2278,0.1222,K
2013-09-30 00:00:00,14854000000.0,9358000000.0,5496000000.0,3916000000.0,1580000000.0,,-257000000.0,243000000.0,-6000000.0,1323000000.0,361000000.0,962000000.0,,957000000.0,2.64,0.37,0.1064,0.0891,0.0644,0.0766,2066000000.0,1580000000.0,2.6078,2.6296,2.6296,957000000.0,957000000.0,0.1391,0.1193,K
2013-06-30 00:00:00,14858000000.0,9346000000.0,5512000000.0,3923000000.0,1589000000.0,,-268000000.0,260000000.0,-5000000.0,1321000000.0,368000000.0,953000000.0,,949000000.0,2.57,0.371,0.1069,0.0889,0.0639,0.0785,2069000000.0,1589000000.0,2.598,2.6173,2.6173,949000000.0,949000000.0,0.1393,0.12,K
2013-03-31 00:00:00,14618000000.0,9144000000.0,5474000000.0,3936000000.0,1538000000.0,,-284000000.0,288000000.0,,1254000000.0,331000000.0,923000000.0,,921000000.0,2.44,0.3745,0.1052,0.0858,0.063,0.081,2004000000.0,1538000000.0,2.5414,2.5579,2.5579,921000000.0,921000000.0,0.1371,0.1201,K
2012-12-31 00:00:00,14197000000.0,8763000000.0,5434000000.0,3872000000.0,1562000000.0,,-237000000.0,261000000.0,,1325000000.0,363000000.0,962000000.0,,961000000.0,2.58,0.3828,0.11,0.0933,0.0677,0.0863,2010000000.0,1562000000.0,2.6694,2.6844,2.6844,961000000.0,961000000.0,0.1416,0.1238,K
