Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2019-09-30 00:00:00,3727300100.0,1876400000.0,1850900100.0,1123800000.0,966899900.0,,-39900000.0,49300000.0,927000000.0,212400000.0,714600000.0,800000.0,697900000.0,12.61,0.4966,0.2594,0.2487,0.1872,0.1594,1058300000.0,966899900.0,12.7283,12.9185,12.9185,715500000.0,715500000.0,0.2839,0.1861,SNA
2019-06-30 00:00:00,3723600100.0,1866900000.0,1856700100.0,1124200000.0,970599900.0,,-44100000.0,49700000.0,926500000.0,213500000.0,713000000.0,900000.0,696500000.0,12.52,0.4986,0.2607,0.2488,0.1871,0.1591,1062300000.0,970599900.0,12.6121,12.8155,12.8155,713700000.0,713700000.0,0.2853,0.186,SNA
2019-03-31 00:00:00,3726900100.0,1856900000.0,1870000100.0,1134300000.0,971000000.0,,-46400000.0,49300000.0,924600000.0,213700000.0,710900000.0,1200000.0,694800000.0,12.42,0.5018,0.2605,0.2481,0.1864,0.1721,1063700100.0,971000000.0,12.4988,12.7053,12.7053,711500000.0,711500000.0,0.2854,0.1969,SNA
2018-12-31 00:00:00,3740700100.0,1870700000.0,1870000100.0,1144000000.0,956100100.0,,-46200000.0,50400000.0,909900000.0,214400000.0,695500000.0,,679900000.0,12.08,0.4999,0.2556,0.2432,0.1818,0.1803,1050200200.0,956100100.0,12.1501,12.366,12.366,696200000.0,696200000.0,0.2807,0.2044,SNA
2018-09-30 00:00:00,3762799900.0,1884600000.0,1878199900.0,1176300100.0,930299800.0,,-52200000.0,51600000.0,878100000.0,228700000.0,649400000.0,700000.0,634400000.0,11.22,0.4991,0.2472,0.2334,0.1686,0.1726,1025299800.0,930299900.0,11.3042,11.5075,11.5075,650100000.0,650100000.0,0.2725,0.1972,SNA
2018-06-30 00:00:00,3768499900.0,1895400000.0,1873099900.0,1191600100.0,906599800.0,,-53600000.0,52300000.0,853000000.0,234400000.0,618600000.0,1200000.0,604600000.0,10.65,0.497,0.2406,0.2264,0.1604,0.1652,1001899800.0,906599900.0,10.7343,10.931,10.931,619800000.0,619800000.0,0.2659,0.1878,SNA
2018-03-31 00:00:00,3735299900.0,1886100000.0,1849199900.0,1177100100.0,893999800.0,,-55900000.0,53300000.0,838100000.0,245900000.0,592200000.0,1700000.0,579100000.0,10.13,0.4951,0.2393,0.2244,0.155,0.1519,988099800.0,893999900.0,10.2034,10.4044,10.4044,593900000.0,593900000.0,0.2645,0.1735,SNA
2017-12-31 00:00:00,3686899900.0,1861000000.0,1825899900.0,1161300100.0,882099800.0,,-60200000.0,52400000.0,821900000.0,250900000.0,571000000.0,1200000.0,557700000.0,9.71,0.4952,0.2393,0.2229,0.1513,0.1432,975299800.0,882099900.0,9.7645,9.9686,9.9686,572200000.0,572200000.0,0.2645,0.165,SNA
2017-09-30 00:00:00,3602099700.0,1797100000.0,1804999700.0,1115400000.0,904299700.0,,-65100000.0,51900000.0,839200000.0,252000000.0,587200000.0,1500000.0,574500000.0,9.95,0.5011,0.251,0.233,0.1595,0.1394,995399700.0,904299900.0,9.9762,10.1883,10.1883,588700000.0,588700000.0,0.2763,0.1598,SNA
2017-06-30 00:00:00,3532399700.0,1757100000.0,1775299700.0,1080800000.0,903799700.0,,-64200000.0,51900000.0,839600000.0,254400000.0,585200000.0,1600000.0,572800000.0,9.89,0.5026,0.2559,0.2377,0.1622,0.1486,992599600.0,903799900.0,9.9045,10.1224,10.1224,586800000.0,586800000.0,0.281,0.1676,SNA
2017-03-31 00:00:00,3483299700.0,1739900000.0,1743399700.0,1066200000.0,881399700.0,,-61000000.0,51800000.0,820400000.0,249300000.0,571100000.0,2300000.0,559700000.0,9.65,0.5005,0.253,0.2355,0.1607,0.1598,969099600.0,881399900.0,9.661,9.8778,9.8778,573400000.0,573400000.0,0.2782,0.18,SNA
2016-12-31 00:00:00,3430399700.0,1720000000.0,1710399700.0,1048000000.0,861099700.0,,-59700000.0,52200000.0,801400000.0,244300000.0,557100000.0,2500000.0,546400000.0,9.41,0.4986,0.251,0.2336,0.1593,0.1469,946699600.0,861099900.0,9.4208,9.6317,9.6317,559600000.0,559600000.0,0.276,0.1679,SNA
2016-09-30 00:00:00,3392300000.0,1714300000.0,1678000000.0,1036299900.0,833800000.0,,-52900000.0,52100000.0,780900000.0,238700000.0,542200000.0,2200000.0,531500000.0,9.15,0.4946,0.2458,0.2302,0.1567,0.1482,961800000.0,833800100.0,9.1765,9.3741,9.3741,544400000.0,544400000.0,0.2835,0.1682,SNA
2016-06-30 00:00:00,3379700000.0,1713900000.0,1665800000.0,1038099900.0,812700000.0,,-52500000.0,52000000.0,760200000.0,233000000.0,527200000.0,1900000.0,516600000.0,8.89,0.4929,0.2405,0.2249,0.1529,0.1486,897300100.0,812700100.0,8.9254,9.1068,9.1068,529100000.0,529100000.0,0.2655,0.1694,SNA
2016-03-31 00:00:00,3359200000.0,1705700000.0,1653500000.0,1041399900.0,789000000.0,,-54400000.0,52000000.0,734600000.0,227000000.0,507600000.0,1100000.0,496500000.0,8.55,0.4922,0.2349,0.2187,0.1478,0.1466,872500100.0,789000100.0,8.5925,8.7556,8.7556,508700000.0,508700000.0,0.2597,0.1699,SNA
2015-12-31 00:00:00,3352800000.0,1704500000.0,1648300000.0,1053699900.0,764800000.0,,-54300000.0,51900000.0,710500000.0,221200000.0,489300000.0,1300000.0,478700000.0,8.24,0.4916,0.2281,0.2119,0.1428,0.1283,847300100.0,764800100.0,8.3012,8.4441,8.4441,490600000.0,490600000.0,0.2527,0.1513,SNA
2015-09-30 00:00:00,3358499900.0,1711200000.0,1647299900.0,1069800000.0,744900000.0,,-54800000.0,52700000.0,690100000.0,216800000.0,473300000.0,1500000.0,463500000.0,7.98,0.4905,0.2218,0.2055,0.138,0.1112,783800000.0,744899900.0,8.0277,8.175,8.175,474800000.0,474800000.0,0.2334,0.1353,SNA
2015-06-30 00:00:00,3343299900.0,1709000000.0,1634299900.0,1069800000.0,726100000.0,,-54900000.0,52400000.0,671200000.0,211300000.0,459900000.0,1400000.0,450400000.0,7.75,0.4888,0.2172,0.2008,0.1347,0.1029,806900000.0,726099900.0,7.8023,7.9426,7.9426,461300000.0,461300000.0,0.2413,0.1283,SNA
2015-03-31 00:00:00,3317999900.0,1702300000.0,1615699900.0,1063900000.0,706800000.0,,-53700000.0,52200000.0,653100000.0,207000000.0,446100000.0,1000000.0,436500000.0,7.51,0.4869,0.213,0.1968,0.1316,0.0944,786700000.0,706799900.0,7.5652,7.6982,7.6982,447100000.0,447100000.0,0.2371,0.1184,SNA
2014-12-31 00:00:00,3277699900.0,1693400000.0,1584299900.0,1048700000.0,684700000.0,,-53800000.0,52900000.0,630900000.0,199500000.0,431400000.0,700000.0,421900000.0,7.26,0.4834,0.2089,0.1925,0.1287,0.0986,764200000.0,684699900.0,7.3114,7.4371,7.4371,432100000.0,432100000.0,0.2332,0.123,SNA
2014-09-30 00:00:00,3217800100.0,1666299900.0,1551500100.0,1037500000.0,653900000.0,,-54900000.0,53400000.0,599000000.0,189200000.0,409800000.0,500000.0,400200000.0,6.89,0.4822,0.2032,0.1862,0.1244,0.1082,731900000.0,653900000.0,6.946,7.0587,7.0587,410300000.0,410300000.0,0.2275,0.1315,SNA
2014-06-30 00:00:00,3164700100.0,1642799900.0,1521900100.0,1027200000.0,628500000.0,,-56500000.0,55100000.0,572000000.0,181600000.0,390400000.0,500000.0,381100000.0,6.56,0.4809,0.1986,0.1807,0.1204,0.1099,706200000.0,628500000.0,6.6172,6.7222,6.7222,390900000.0,390900000.0,0.2231,0.1326,SNA
2014-03-31 00:00:00,3102300100.0,1607599900.0,1494700100.0,1020300000.0,604000000.0,,-59600000.0,56200000.0,544400000.0,172200000.0,372200000.0,600000.0,363400000.0,6.25,0.4818,0.1947,0.1755,0.1171,0.1094,681500000.0,604000000.0,6.3104,6.408,6.408,372800000.0,372800000.0,0.2197,0.1306,SNA
2013-12-31 00:00:00,3056500100.0,1583599900.0,1472900100.0,1012400000.0,586200000.0,,-60000000.0,56100000.0,526200000.0,166700000.0,359500000.0,200000.0,350300000.0,6.02,0.4819,0.1918,0.1722,0.1146,0.1081,662900000.0,586200000.0,6.0863,6.1804,6.1804,359700000.0,359700000.0,0.2169,0.1284,SNA
2013-09-30 00:00:00,3012199800.0,1565800000.0,1446399800.0,998100000.0,570299700.0,,-59200000.0,56200000.0,511100000.0,161900000.0,349200000.0,300000.0,340400000.0,5.84,0.4802,0.1893,0.1697,0.113,0.1007,647499700.0,570299900.0,5.917,6.0048,6.0048,349500000.0,349500000.0,0.215,0.1238,SNA
2013-06-30 00:00:00,2970599800.0,1548100000.0,1422499800.0,989300000.0,551499700.0,,-57800000.0,55400000.0,493700000.0,156000000.0,337700000.0,1200000.0,329900000.0,5.66,0.4789,0.1857,0.1662,0.1111,0.0971,628299700.0,551499900.0,5.7395,5.8205,5.8205,338900000.0,338900000.0,0.2115,0.1206,SNA
2013-03-31 00:00:00,2944399800.0,1545200000.0,1399199800.0,979200000.0,533299700.0,,-56100000.0,55500000.0,477200000.0,151800000.0,325400000.0,1300000.0,317900000.0,5.45,0.4752,0.1811,0.1621,0.108,0.0913,609799700.0,533299900.0,5.5372,5.6109,5.6109,326700000.0,326700000.0,0.2071,0.1155,SNA
2012-12-31 00:00:00,2937899800.0,1547900000.0,1389999800.0,980300000.0,516399700.0,,-56200000.0,55800000.0,460200000.0,148200000.0,312000000.0,2600000.0,306100000.0,5.25,0.4731,0.1758,0.1566,0.1042,0.0859,593099700.0,516399900.0,5.3412,5.4055,5.4055,314600000.0,314600000.0,0.2019,0.1121,SNA
