Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2019-03-31 00:00:00,5431000000.0,864000000.0,4567000000.0,2851000000.0,1664000000.0,1664000000.0,239000000.0,1425000000.0,1348000000.0,1.25,0.8409,0.0,0.3064,0.2482,0.3335,1.3056,1.3291,1.3291,1425000000.0,1425000000.0,0.0,0.3552,HBAN
2018-12-31 00:00:00,5270000000.0,760000000.0,4510000000.0,2829000000.0,1628000000.0,1628000000.0,235000000.0,1393000000.0,1323000000.0,1.22,0.8558,0.0,0.3089,0.251,0.3066,1.2595,1.288,1.288,1393000000.0,1393000000.0,0.0,0.3275,HBAN
2018-09-30 00:00:00,5119000000.0,662000000.0,4457000000.0,2755000000.0,1648000000.0,1648000000.0,158000000.0,1490000000.0,1420000000.0,1.3,0.8707,0.0,0.3219,0.2774,0.3675,1.3108,1.37,1.37,1490000000.0,1490000000.0,0.0,0.3891,HBAN
2018-06-30 00:00:00,4973000000.0,572000000.0,4401000000.0,2773000000.0,1573000000.0,1573000000.0,186000000.0,1387000000.0,1316000000.0,1.21,0.885,0.0,0.3163,0.2646,0.3776,1.2168,1.2747,1.2747,1387000000.0,1387000000.0,0.0,0.4016,HBAN
2018-03-31 00:00:00,4836000000.0,485000000.0,4351000000.0,2783000000.0,1512000000.0,1512000000.0,208000000.0,1304000000.0,1235000000.0,1.14,0.8997,0.0,0.3127,0.2554,0.3509,1.146,1.2027,1.2027,1304000000.0,1304000000.0,0.0,0.383,HBAN
2017-12-31 00:00:00,4740000000.0,431000000.0,4309000000.0,2859000000.0,1394000000.0,1394000000.0,208000000.0,1186000000.0,1110000000.0,1.02,0.9091,0.0,0.2941,0.2342,0.3713,1.0438,1.0934,1.0934,1186000000.0,1186000000.0,0.0,0.4122,HBAN
2017-09-30 00:00:00,4655351000.0,386082000.0,4269269000.0,2917474100.0,1296153000.0,1296153000.0,302011000.0,994142000.0,918551000.0,0.82,0.9171,0.0,0.2784,0.1973,0.308,0.8957,0.9125,0.9125,994142000.0,994142000.0,0.0,0.3513,HBAN
2017-06-30 00:00:00,4449112000.0,340038000.0,4109074000.0,2975480100.0,1082906000.0,1082906000.0,236760000.0,846146000.0,771018000.0,0.7,0.9236,0.0,0.2434,0.1733,0.2864,0.7806,0.7946,0.7946,846146000.0,846146000.0,0.0,0.3343,HBAN
2017-03-31 00:00:00,4114882000.0,298815000.0,3816067000.0,2815050200.0,960728900.0,960729000.0,212043000.0,748686000.0,672684000.0,0.66,0.9274,0.0,0.2335,0.1635,0.3053,0.7506,0.7635,0.7635,748686000.0,748686000.0,0.0,0.3449,HBAN
2016-12-31 00:00:00,3782000000.0,263000000.0,3519000000.0,2569000200.0,919999800.0,920000000.0,208000000.0,712000000.0,647000000.0,0.69,0.9305,0.0,0.2433,0.1711,0.2895,0.7749,0.7873,0.7873,712000000.0,712000000.0,0.0,0.3213,HBAN
2016-09-30 00:00:00,3449766100.0,230376000.0,3219390100.0,2357977100.0,841133800.0,841134000.0,189924000.0,651210000.0,596702000.0,0.72,0.9332,0.0,0.2438,0.173,0.3566,0.7809,0.7934,0.7934,651210000.0,651210000.0,0.0,0.382,HBAN
2016-06-30 00:00:00,3244601100.0,204442000.0,3040159100.0,2136042100.0,888970800.0,888971000.0,212177000.0,676794000.0,632855000.0,0.78,0.937,0.0,0.274,0.195,0.3587,0.8349,0.8486,0.8486,676794000.0,676794000.0,0.0,0.3802,HBAN
2016-03-31 00:00:00,3219399100.0,183774000.0,3035625100.0,2093708000.0,920411000.0,920411000.0,221951000.0,698460000.0,666427000.0,0.82,0.9429,0.0,0.2859,0.207,0.3575,0.8587,0.8731,0.8731,698460000.0,698460000.0,0.0,0.3861,HBAN
2015-12-31 00:00:00,3154000100.0,164000000.0,2990000100.0,2048000000.0,914000100.0,914000000.0,221000000.0,693000000.0,661000000.0,0.81,0.948,0.0,0.2898,0.2096,0.298,0.8481,0.8626,0.8626,693000000.0,693000000.0,0.0,0.3275,HBAN
2015-09-30 00:00:00,3077786300.0,150915000.0,2926871300.0,1991661100.0,900478200.0,900478000.0,222216000.0,678262000.0,646398000.0,0.79,0.951,0.0,0.2926,0.21,0.1833,0.8259,0.8398,0.8398,678262000.0,678262000.0,0.0,0.2146,HBAN
2015-06-30 00:00:00,3034599300.0,142618000.0,2891981300.0,1941575100.0,909774200.0,909774000.0,229084000.0,680690000.0,648830000.0,0.79,0.953,0.0,0.2998,0.2138,0.169,0.8254,0.8392,0.8392,680690000.0,680690000.0,0.0,0.1952,HBAN
2015-03-31 00:00:00,2968420300.0,138783000.0,2829637300.0,1917840100.0,871605000.0,871605000.0,222502000.0,649103000.0,617248000.0,0.75,0.9532,0.0,0.2936,0.2079,0.2201,0.7834,0.7964,0.7964,649103000.0,649103000.0,0.0,0.2407,HBAN
2014-12-31 00:00:00,2955641300.0,139321000.0,2816320300.0,1924058100.0,852985000.0,852985000.0,220593000.0,632392000.0,600538000.0,0.73,0.9529,0.0,0.2886,0.2032,0.2808,0.7591,0.7714,0.7714,632392000.0,632392000.0,0.0,0.3007,HBAN
2014-09-30 00:00:00,2934454100.0,144123000.0,2790331100.0,1908966000.0,842420900.0,842421000.0,215471000.0,626950000.0,595094000.0,0.72,0.9509,0.0,0.2871,0.2028,0.2673,0.7488,0.7603,0.7603,626950000.0,626950000.0,0.0,0.2826,HBAN
2014-06-30 00:00:00,2902724100.0,147458000.0,2755266100.0,1838355000.0,877417900.0,877418000.0,226648000.0,650770000.0,618911000.0,0.75,0.9492,0.0,0.3023,0.2132,0.3139,0.7745,0.7858,0.7858,650770000.0,650770000.0,0.0,0.3399,HBAN
2014-03-31 00:00:00,2871836100.0,149829000.0,2722007100.0,1820079000.0,861593000.0,861593000.0,224442000.0,637151000.0,605288000.0,0.73,0.9478,0.0,0.3,0.2108,0.3024,0.7562,0.7663,0.7663,637151000.0,637151000.0,0.0,0.3333,HBAN
2013-12-31 00:00:00,2872833100.0,156029000.0,2716804100.0,1806684000.0,868756000.0,868756000.0,227474000.0,641282000.0,609413000.0,0.73,0.9457,0.0,0.3024,0.2121,0.3171,0.7598,0.7687,0.7687,641282000.0,641282000.0,0.0,0.3527,HBAN
2013-09-30 00:00:00,2938226900.0,161794000.0,2776432900.0,1859141100.0,874600800.0,888639000.0,247982000.0,640657000.0,608780100.0,0.74,0.9449,0.0,0.3024,0.2072,0.342,0.7566,0.7643,0.7643,640657000.0,640657000.0,0.0,0.3882,HBAN
2013-06-30 00:00:00,2966401900.0,177223000.0,2789178900.0,1918643100.0,826775800.0,840814000.0,211226000.0,629588000.0,597695100.0,0.72,0.9403,0.0,0.2834,0.2015,0.2451,0.7383,0.7445,0.7445,629588000.0,629588000.0,0.0,0.2867,HBAN
2013-03-31 00:00:00,2993263900.0,198160000.0,2795103900.0,1927267000.0,822498900.0,836537000.0,205243000.0,631294000.0,599384100.0,0.72,0.9338,0.0,0.2795,0.2002,0.2715,0.7354,0.7407,0.7407,631294000.0,631294000.0,0.0,0.313,HBAN
2012-12-31 00:00:00,3036583900.0,219739000.0,2816844900.0,1950753100.0,819542900.0,833581000.0,202291000.0,631290000.0,599301100.0,0.72,0.9276,0.0,0.2745,0.1974,0.2873,0.7311,0.7358,0.7358,631290000.0,631290000.0,0.0,0.33,HBAN
