Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-09-30 00:00:00,3788535800.0,1675533000.0,2113002700.0,970512900.0,634164600.0,-391487000.0,350444000.0,3105000.0,242678000.0,28284000.0,214394000.0,210038000.0,0.8,0.5577,0.1674,0.0641,0.0554,0.0734,1156727800.0,634164600.0,0.77,-0.0253,0.7816,-0.0253,0.78,217174000.0,-3696000.0,213478000.0,0.3053,0.169,IRM
2017-06-30 00:00:00,3765696800.0,1687014000.0,2078682700.0,981099900.0,592862600.0,-349621000.0,344755000.0,4593000.0,243242000.0,49434000.0,193808000.0,192773000.0,0.74,0.552,0.1574,0.0646,0.0512,0.0798,1111142700.0,592862600.0,0.69,-0.0113,0.7195,-0.0113,0.7,197551000.0,-597000.0,196954000.0,0.2951,0.1744,IRM
2017-03-31 00:00:00,3699638800.0,1668379000.0,2031259700.0,1020731900.0,519294600.0,-379528000.0,329655000.0,,139767000.0,42264000.0,97503000.0,100175000.0,0.38,0.549,0.1404,0.0378,0.0271,0.0619,1023432700.0,519294600.0,0.33,0.0087,0.3592,0.0087,0.33,99683000.0,3016000.0,102699000.0,0.2766,0.158,IRM
2016-12-31 00:00:00,3511452800.0,1567777000.0,1943675800.0,988331900.0,501605700.0,-354962000.0,310662000.0,3869000.0,146644000.0,44944000.0,101700000.0,104824000.0,0.46,0.5535,0.1428,0.0418,0.0299,0.0546,967082700.0,501605700.0,0.41,0.0138,0.4355,0.0138,0.41,103880000.0,4082000.0,107233000.0,0.2754,0.1549,IRM
2016-09-30 00:00:00,3329687000.0,1475987100.0,1853699900.0,954755000.0,485415000.0,-368976000.0,292979000.0,9482000.0,116439000.0,56744000.0,59695000.0,61591000.0,0.3,0.5567,0.1458,0.035,0.0185,0.0828,909830000.0,485415100.0,0.2933,0.0221,0.302,0.0221,0.2815,60020000.0,4031000.0,63648000.0,0.2732,0.1935,IRM
2016-06-30 00:00:00,3133394000.0,1363842100.0,1769551900.0,917504000.0,476783000.0,-362755000.0,274814000.0,,114028000.0,37100000.0,76928000.0,77621000.0,0.38,0.5647,0.1522,0.0364,0.0248,0.073,861514000.0,476783100.0,0.3833,0.0089,0.3839,0.0089,0.3715,77778000.0,1378000.0,79365000.0,0.2749,0.1815,IRM
2016-03-31 00:00:00,3009380000.0,1294476100.0,1714903900.0,856312000.0,509659000.0,-330339000.0,266035000.0,,179320000.0,33665000.0,145655000.0,144919000.0,0.69,0.5699,0.1694,0.0596,0.0482,0.0961,866282000.0,509659100.0,0.6933,,0.6935,,0.6915,146505000.0,,146505000.0,0.2879,0.2051,IRM
2015-12-31 00:00:00,3007976000.0,1290025100.0,1717950900.0,844960000.0,524527000.0,-362461000.0,263871000.0,,162066000.0,37713000.0,124353000.0,123241000.0,0.59,0.5711,0.1744,0.0539,0.041,0.0735,879240000.0,524527100.0,0.59,,0.594,,0.59,125203000.0,,125203000.0,0.2923,0.1801,IRM
2015-09-30 00:00:00,3033527000.0,1302624000.0,1730903000.0,852640000.0,529153000.0,-370903000.0,269104000.0,,158250000.0,28002000.0,130248000.0,130285000.0,0.62,0.5706,0.1744,0.0522,0.0429,0.0735,886637000.0,529153100.0,0.5967,,0.6101,,0.6085,131937000.0,,132666000.0,0.2923,0.1619,IRM
2015-06-30 00:00:00,3069695000.0,1320467000.0,1749228000.0,853284000.0,543807000.0,-356250000.0,267189000.0,,187557000.0,79118000.0,108439000.0,107241000.0,0.51,0.5698,0.1772,0.0611,0.0349,0.0517,903744000.0,543807100.0,0.4867,,0.503,,0.4985,109278000.0,,110007000.0,0.2944,0.1489,IRM
