Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,20422000000.0,3533000000.0,16889000000.0,12037000000.0,4852000000.0,4852000000.0,773000000.0,4079000000.0,3931000000.0,10.78,0.827,0.0,0.2376,0.1925,0.2579,8.3727,2.18,11.4603,2.21,8.3866,4079000000.0,983000000.0,5062000000.0,0.0,0.2579,PNC
2019-12-31 00:00:00,20636000000.0,3797000000.0,16839000000.0,11347000000.0,5492000000.0,5492000000.0,901000000.0,4591000000.0,4284000000.0,11.44,0.816,0.0,0.2661,0.2076,0.3568,9.57,1.83,12.1208,1.84,9.59,4591000000.0,1155000000.0,5418000000.0,0.0,0.3568,PNC
2019-09-30 00:00:00,19970000000.0,3829000000.0,16141000000.0,11089000000.0,5052000000.0,5052000000.0,852000000.0,4200000000.0,5099000000.0,11.23,0.8083,0.0,0.253,0.2553,0.3197,8.3136,1.51,11.9012,1.53,8.3219,4200000000.0,750000000.0,5388000000.0,0.0,0.3197,PNC
2019-06-30 00:00:00,19843000000.0,3587000000.0,16256000000.0,10979000000.0,5277000000.0,5277000000.0,858000000.0,4419000000.0,5109000000.0,11.12,0.8192,0.0,0.2659,0.2575,0.35,8.8415,1.08,11.7769,1.09,8.8627,4419000000.0,562000000.0,5396000000.0,0.0,0.35,PNC
2019-03-31 00:00:00,19622000000.0,3257000000.0,16365000000.0,10852000000.0,5513000000.0,5513000000.0,923000000.0,4590000000.0,5093000000.0,10.97,0.834,0.0,0.281,0.2596,0.322,9.2444,,11.6216,,9.284,4590000000.0,,5378000000.0,0.0,0.322,PNC
2018-12-31 00:00:00,19051000000.0,2861000000.0,16190000000.0,10704000000.0,5486000000.0,5486000000.0,928000000.0,4558000000.0,5061000000.0,10.8,0.8498,0.0,0.288,0.2657,0.4115,9.06,,11.4477,,9.1101,4558000000.0,,5346000000.0,0.0,0.4115,PNC
2018-09-30 00:00:00,19515000000.0,2463000000.0,17052000000.0,11165000000.0,5887000000.0,5887000000.0,-199000000.0,6086000000.0,5790000000.0,12.26,0.8738,0.0,0.3017,0.2967,0.3365,12.798,,12.9007,,12.9007,6086000000.0,,6086000000.0,0.0,0.3365,PNC
2018-06-30 00:00:00,18976000000.0,2156000000.0,16820000000.0,11055000000.0,5765000000.0,5765000000.0,-47000000.0,5812000000.0,5515000000.0,11.6,0.8864,0.0,0.3038,0.2906,0.4162,12.1314,,12.2406,,12.2406,5812000000.0,,5812000000.0,0.0,0.4162,PNC
2018-03-31 00:00:00,18459000000.0,1903000000.0,16556000000.0,10968000000.0,5588000000.0,5588000000.0,35000000.0,5553000000.0,5251000000.0,10.98,0.8969,0.0,0.3027,0.2845,0.3744,11.5065,,11.6158,,11.6158,5553000000.0,,5553000000.0,0.0,0.3744,PNC
2017-12-31 00:00:00,18035000000.0,1706000000.0,16329000000.0,10839000000.0,5490000000.0,5490000000.0,102000000.0,5388000000.0,5053000000.0,10.52,0.9054,0.0,0.3044,0.2802,0.3093,11.0865,,11.2016,,11.2016,5388000000.0,,5388000000.0,0.0,0.3093,PNC
