Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,7582000000.0,1269000000.0,6313000000.0,4560000000.0,1669000000.0,,1702000000.0,255000000.0,1447000000.0,1352000000.0,1.36,0.8326,0.0,0.2245,0.1783,0.2772,1.35,0.01,1.4773,0.01,1.36,1447000000.0,9000000.0,1456000000.0,0.0,0.2866,KEY
2019-12-31 00:00:00,7694000000.0,1326000000.0,6368000000.0,4290000000.0,1989000000.0,,2022000000.0,314000000.0,1708000000.0,1620000000.0,1.62,0.8277,0.0,0.2628,0.2106,0.369,1.61,0.01,1.7307,0.01,1.62,1708000000.0,9000000.0,1717000000.0,0.0,0.3777,KEY
2019-09-30 00:00:00,7700000000.0,1317000000.0,6383000000.0,4236000000.0,2055000000.0,,2055000000.0,331000000.0,1724000000.0,1639000000.0,1.62,0.829,0.0,0.2669,0.2129,0.4622,1.59,0.0113,1.7246,0.0113,1.62,1724000000.0,8000000.0,1732000000.0,0.0,0.4708,KEY
2019-06-30 00:00:00,7581000000.0,1225000000.0,6356000000.0,4126000000.0,2141000000.0,,2141000000.0,348000000.0,1793000000.0,1721000000.0,1.68,0.8384,0.0,0.2824,0.227,0.36,1.66,0.0111,1.7687,0.0111,1.68,1793000000.0,8000000.0,1798000000.0,0.0,0.373,KEY
2019-03-31 00:00:00,7495000000.0,1103000000.0,6392000000.0,4087000000.0,2213000000.0,,2213000000.0,364000000.0,1849000000.0,1783000000.0,1.72,0.8528,0.0,0.2953,0.2379,0.4256,1.7,0.011,1.8012,0.011,1.72,1849000000.0,8000000.0,1855000000.0,0.0,0.4372,KEY
2018-12-31 00:00:00,7393000000.0,969000000.0,6424000000.0,4122000000.0,2203000000.0,,2203000000.0,344000000.0,1859000000.0,1800000000.0,1.72,0.8689,0.0,0.298,0.2435,0.3258,1.7,0.0145,1.7927,0.0144,1.72,1859000000.0,8000000.0,1866000000.0,0.0,0.339,KEY
2018-09-30 00:00:00,7221000000.0,848000000.0,6373000000.0,4194000000.0,2076000000.0,,2076000000.0,503000000.0,1573000000.0,1521000000.0,1.44,0.8826,0.0,0.2875,0.2106,0.1942,1.44,,1.5034,,1.44,1573000000.0,,1579000000.0,0.0,0.2119,KEY
2018-06-30 00:00:00,7074000000.0,756000000.0,6318000000.0,4209000000.0,2004000000.0,,2004000000.0,550000000.0,1454000000.0,1403000000.0,1.32,0.8931,0.0,0.2833,0.1983,0.3801,1.31,0.0101,1.3775,0.01,1.31,1454000000.0,7000000.0,1461000000.0,0.0,0.3975,KEY
2018-03-31 00:00:00,6979000000.0,674000000.0,6305000000.0,4216000000.0,1987000000.0,,1987000000.0,605000000.0,1382000000.0,1334000000.0,1.25,0.9034,0.0,0.2847,0.1911,0.2695,1.23,0.0119,1.3024,0.0118,1.23,1382000000.0,9000000.0,1391000000.0,0.0,0.2879,KEY
2017-12-31 00:00:00,6868000000.0,613000000.0,6255000000.0,4232000000.0,1928000000.0,,1928000000.0,637000000.0,1291000000.0,1226000000.0,1.15,0.9107,0.0,0.2807,0.1785,0.248,1.12,0.0053,1.2107,0.0051,1.13,1291000000.0,3000000.0,1298000000.0,0.0,0.2643,KEY
