Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-09-30 00:00:00,14369299000.0,8260300000.0,6108999000.0,2318698500.0,2318700000.0,498900000.0,1819800000.0,1786600000.0,6.16,0.4251,0.1614,0.1614,0.1243,0.3048,2705398500.0,2318699000.0,6.2162,6.3018,6.3018,1819800000.0,1819800000.0,0.1883,0.3173,PFG
2017-06-30 00:00:00,12559499000.0,7250800000.0,5308699000.0,1531598700.0,1531600000.0,197600000.0,1333999900.0,1284600000.0,4.43,0.4227,0.1219,0.1219,0.1023,0.2689,1940898700.0,1531599200.0,4.5652,4.6273,4.6273,1333999900.0,1334000000.0,0.1545,0.2836,PFG
2017-03-31 00:00:00,12406899000.0,7064700000.0,5342199000.0,1565898500.0,1565900000.0,219700000.0,1346199900.0,1297400000.0,4.46,0.4306,0.1262,0.1262,0.1046,0.2685,1992598500.0,1565899000.0,4.6073,4.6656,4.6656,1346199900.0,1346200000.0,0.1606,0.2809,PFG
2016-12-31 00:00:00,12394099000.0,7069800000.0,5324299000.0,1591698700.0,1591700000.0,229900000.0,1361799900.0,1316500000.0,4.52,0.4296,0.1284,0.1284,0.1062,0.2988,2063398800.0,1591699200.0,4.6525,4.7057,4.7057,1361799900.0,1361800000.0,0.1665,0.3113,PFG
2016-09-30 00:00:00,11687300000.0,6500100000.0,5187200000.0,1519400600.0,1519400100.0,237500000.0,1281900000.0,1252100000.0,4.28,0.4438,0.13,0.13,0.1071,0.3279,2014300700.0,1519401100.0,4.3677,4.4143,4.4143,1281900000.0,1281899900.0,0.1723,0.3407,PFG
2016-06-30 00:00:00,12110200000.0,6882700000.0,5227500000.0,1517900400.0,1517900100.0,262500000.0,1255400000.0,1244300000.0,4.22,0.4317,0.1253,0.1253,0.1027,0.3502,2061600400.0,1517900900.0,4.2522,4.2979,4.2979,1255400000.0,1255399900.0,0.1702,0.3621,PFG
2016-03-31 00:00:00,12343700000.0,7280500000.0,5063200000.0,1412500300.0,1412500100.0,219200000.0,1193300000.0,1163100000.0,3.93,0.4102,0.1144,0.1144,0.0942,0.3641,1918600200.0,1412500800.0,4.0223,4.0679,4.0679,1193300000.0,1193299900.0,0.1554,0.376,PFG
2015-12-31 00:00:00,11964400000.0,6861200000.0,5103200000.0,1430800400.0,1430800100.0,177600000.0,1253200000.0,1209300000.0,4.07,0.4265,0.1196,0.1196,0.1011,0.3544,1894600200.0,1430800900.0,4.2053,4.2569,4.2569,1253200000.0,1253199900.0,0.1584,0.3658,PFG
2015-09-30 00:00:00,12065400000.0,6948200000.0,5117199000.0,1438999400.0,1439000100.0,163800000.0,1275200000.0,1226400000.0,4.12,0.4241,0.1193,0.1193,0.1016,0.3409,1942599200.0,1438999100.0,4.2716,4.3274,4.3274,1275200000.0,1275200000.0,0.161,0.3504,PFG
2015-06-30 00:00:00,11308800000.0,6195900000.0,5112899000.0,1463599400.0,1463600100.0,236500000.0,1227100000.0,1156400000.0,3.88,0.4521,0.1294,0.1294,0.1023,0.3301,1960699300.0,1463599100.0,4.1114,4.1667,4.1667,1227100000.0,1227100000.0,0.1734,0.3398,PFG
2015-03-31 00:00:00,10656300000.0,5413200000.0,5243099000.0,1576599600.0,1576600100.0,295200000.0,1281400000.0,1221600000.0,4.1,0.492,0.1479,0.148,0.1146,0.2837,2100999600.0,1576599300.0,4.2938,4.3518,4.3518,1281400000.0,1281400000.0,0.1972,0.2949,PFG
2014-12-31 00:00:00,10477600000.0,5408400000.0,5069199000.0,1494899600.0,1494900100.0,318500000.0,1176400000.0,1091400000.0,3.66,0.4838,0.1427,0.1427,0.1042,0.2832,2031599600.0,1494899300.0,3.9384,3.9919,3.9919,1176400000.0,1176400000.0,0.1939,0.2961,PFG
2014-09-30 00:00:00,10242200000.0,5186100000.0,5056100000.0,1487599800.0,1487600000.0,341100000.0,1146500000.0,1054100000.0,3.53,0.4937,0.1452,0.1452,0.1029,0.2799,1983699800.0,1487599900.0,3.8358,3.8865,3.8865,1146500000.0,1146500000.0,0.1937,0.2949,PFG
2014-06-30 00:00:00,9997500000.0,5172800000.0,4824700000.0,1414100000.0,1414100000.0,261300000.0,1152800000.0,1069400000.0,3.58,0.4826,0.1414,0.1414,0.107,0.2675,1802800000.0,1414100100.0,3.8557,3.9058,3.9058,1152800000.0,1152800000.0,0.1803,0.2816,PFG
2014-03-31 00:00:00,9601400000.0,5003000000.0,4598400000.0,1272200100.0,1272200000.0,202000000.0,1070200000.0,985400000.0,3.3,0.4789,0.1325,0.1325,0.1026,0.2188,1638100100.0,1272200200.0,3.5817,3.6272,3.6272,1070200000.0,1070200000.0,0.1706,0.2309,PFG
2013-12-31 00:00:00,9289500000.0,4872600000.0,4416900000.0,1124000000.0,1124000000.0,187900000.0,936100000.0,879700000.0,2.96,0.4755,0.121,0.121,0.0947,0.2327,1465000000.0,1124000100.0,3.1391,3.1775,3.1775,936100000.0,936100000.0,0.1577,0.2391,PFG
2013-09-30 00:00:00,8912799000.0,4633300000.0,4279500000.0,1075000300.0,1075000000.0,162600000.0,912400000.0,861200000.0,2.92,0.4802,0.1206,0.1206,0.0966,0.2333,1425800300.0,1075000400.0,3.0649,3.0992,3.0992,912400000.0,912400000.0,0.16,0.2362,PFG
2013-06-30 00:00:00,9377899000.0,5185300000.0,4192600000.0,946300000.0,946300000.0,94200000.0,852100000.0,802700000.0,2.7,0.4471,0.1009,0.1009,0.0856,0.2491,1340299900.0,946300100.0,2.8654,2.8952,2.8952,852100000.0,852100000.0,0.1429,0.2519,PFG
2013-03-31 00:00:00,9285899000.0,5201600000.0,4084300100.0,910200000.0,910200000.0,116100000.0,794100000.0,748000000.0,2.53,0.4398,0.098,0.098,0.0806,0.2972,1324199900.0,910200100.0,2.6609,2.6872,2.6872,794100000.0,794100000.0,0.1426,0.2988,PFG
2012-12-31 00:00:00,9215099000.0,5321600000.0,3893500000.0,959999900.0,960000000.0,134600000.0,825400000.0,773600000.0,2.58,0.4225,0.1042,0.1042,0.0839,0.3301,1186999800.0,960000000.0,2.7477,2.7745,2.7745,825400000.0,825400000.0,0.1288,0.3343,PFG
