Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-09-30 00:00:00,9240000000.0,4674000000.0,4566000000.0,1502000000.0,1113000000.0,2065000000.0,,-383000000.0,,1682000000.0,-310000000.0,1992000000.0,49000000.0,1982000000.0,4.73,0.4942,0.2235,0.182,0.2145,0.1965,4226000000.0,2065000000.0,5.9299,,6.0407,,6.0407,2041000000.0,2041000000.0,0.4574,0.2647,NXPI
2017-06-30 00:00:00,9322000000.0,4787000000.0,4535000000.0,1489000000.0,1091000000.0,2076000000.0,,-422000000.0,,1654000000.0,-324000000.0,1978000000.0,48000000.0,1965000000.0,4.68,0.4865,0.2227,0.1774,0.2108,0.2104,4226000000.0,2076000000.0,5.8882,,5.999,,5.999,2026000000.0,2026000000.0,0.4533,0.2704,NXPI
2017-03-31 00:00:00,9485000000.0,4934000000.0,4551000000.0,1524000000.0,1111000000.0,2000000000.0,,-473000000.0,,1527000000.0,-422000000.0,1561000000.0,15000000.0,1903000000.0,4.49,0.4798,0.2109,0.161,0.2006,0.2096,4210000000.0,2000000000.0,5.7085,,5.8153,,5.8153,1964000000.0,1964000000.0,0.4439,0.2651,NXPI
2016-12-31 00:00:00,9498000000.0,5429000000.0,4069000000.0,1560000000.0,1141000000.0,-150000000.0,,-453000000.0,,-603000000.0,-851000000.0,1235000000.0,11000000.0,200000000.0,-0.55,0.4284,-0.0158,-0.0635,0.0211,0.1954,2055000000.0,-150000000.0,0.7451,,0.7652,,0.7652,259000000.0,259000000.0,0.2164,0.2425,NXPI
2016-09-30 00:00:00,8664000000.0,5165000000.0,3499000000.0,1516000000.0,1262000000.0,690000000.0,,-531000000.0,,159000000.0,-543000000.0,1078000000.0,9000000.0,652000000.0,2.77,0.4039,0.0796,0.0184,0.0753,0.1674,2595000000.0,690000000.0,3.0788,,3.2311,,3.2311,711000000.0,711000000.0,0.2995,0.212,NXPI
2016-06-30 00:00:00,7717000000.0,4662000000.0,3055000000.0,1315000000.0,1154000000.0,891000000.0,,-400000000.0,,491000000.0,-484000000.0,,7000000.0,922000000.0,4.06,0.3959,0.1155,0.0636,0.1195,0.1431,2364000000.0,891000000.0,4.3305,,4.5463,,4.5463,982000000.0,982000000.0,0.3063,0.1891,NXPI
2016-03-31 00:00:00,6858000000.0,4178000000.0,2680000000.0,1094000000.0,1038000000.0,1249000000.0,,-272000000.0,,977000000.0,-318000000.0,1295000000.0,7000000.0,1235000000.0,5.39,0.3908,0.1821,0.1425,0.1801,0.1467,2200000000.0,1249000000.0,5.647,,5.923,,5.923,1302000000.0,1302000000.0,0.3208,0.2006,NXPI
2015-12-31 00:00:00,6101000000.0,3314000000.0,2787000000.0,890000000.0,922000000.0,2015000000.0,,-529000000.0,,1486000000.0,-104000000.0,1590000000.0,9000000.0,1526000000.0,6.09,0.4568,0.3303,0.2436,0.2501,0.1613,2532000000.0,2015000000.0,6.393,,6.669,,6.669,1599000000.0,1599000000.0,0.415,0.218,NXPI
2015-09-30 00:00:00,6032000000.0,3160000000.0,2872000000.0,770000000.0,555000000.0,1312000000.0,,-492000000.0,,820000000.0,53000000.0,767000000.0,10000000.0,703000000.0,3.03,0.4761,0.2175,0.1359,0.1165,0.2072,1696000000.0,1312000000.0,3.1829,,3.3466,,3.3466,777000000.0,777000000.0,0.2812,0.2677,NXPI
2015-06-30 00:00:00,6025000000.0,3180000000.0,2845000000.0,788000000.0,604000000.0,1244000000.0,,-676000000.0,,568000000.0,42000000.0,526000000.0,10000000.0,463000000.0,1.98,0.4722,0.2065,0.0943,0.0768,0.2146,1637000000.0,1244000000.0,2.1773,,2.2968,,2.2968,536000000.0,536000000.0,0.2717,0.2775,NXPI
