Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2018-06-30 00:00:00,34439000000.0,12830000000.0,21609000000.0,11730000000.0,8332000000.0,,-798000000.0,907000000.0,7534000000.0,5149000000.0,2385000000.0,2379000000.0,0.55,0.6275,0.2419,0.2188,0.0691,0.1425,9516000000.0,8332000000.0,0.5583,0.5792,0.5592,2385000000.0,,2458000000.0,0.2763,0.1854,KO
2018-03-31 00:00:00,34720000000.0,12946000000.0,21774000000.0,12023000000.0,7603000000.0,,-387000000.0,891000000.0,7216000000.0,5790000000.0,1426000000.0,1434000000.0,0.33,0.6271,0.219,0.2078,0.0413,0.1567,8805000000.0,7603000000.0,0.3349,0.3525,0.3314,1426000000.0,,1499000000.0,0.2536,0.1984,KO
2017-12-31 00:00:00,36212000000.0,13721000000.0,22491000000.0,12834000000.0,7755000000.0,,-865000000.0,853000000.0,6890000000.0,5607000000.0,1283000000.0,1248000000.0,0.28,0.6211,0.2142,0.1903,0.0345,0.1491,9015000000.0,7755000000.0,0.2967,0.3004,0.3003,1283000000.0,,1283000000.0,0.249,0.1944,KO
2017-09-30 00:00:00,37307000000.0,14360000000.0,22947000000.0,13465000000.0,7631000000.0,,-1311000000.0,879000000.0,6320000000.0,1773000000.0,4547000000.0,4550000000.0,1.06,0.6151,0.2045,0.1694,0.122,0.1653,9021000000.0,7631000000.0,1.0382,1.0644,1.0613,4547000000.0,,4547000000.0,0.2418,0.2126,KO
2017-06-30 00:00:00,38862000000.0,15097000000.0,23765000000.0,14229000000.0,7657000000.0,,-1583000000.0,853000000.0,6074000000.0,1921000000.0,4153000000.0,4149000000.0,0.96,0.6115,0.197,0.1563,0.1068,0.1661,9170000000.0,7657000000.0,0.9488,0.9692,0.9646,4153000000.0,,4153000000.0,0.236,0.2139,KO
2017-03-31 00:00:00,40699000000.0,15909000000.0,24790000000.0,14961000000.0,8479000000.0,,-730000000.0,784000000.0,7749000000.0,1508000000.0,6241000000.0,6226000000.0,1.43,0.6091,0.2083,0.1904,0.153,0.1701,10136000000.0,8479000000.0,1.4193,1.4485,1.445,6241000000.0,,6241000000.0,0.249,0.22,KO
2016-12-31 00:00:00,41863000000.0,16465000000.0,25398000000.0,15370000000.0,8657000000.0,,-521000000.0,733000000.0,8136000000.0,1586000000.0,6550000000.0,6527000000.0,1.5,0.6067,0.2068,0.1943,0.1559,0.1596,10444000000.0,8657000000.0,1.49,1.5173,1.51,6550000000.0,,6550000000.0,0.2495,0.21,KO
2016-09-30 00:00:00,42454000000.0,16725000000.0,25729000000.0,15619000000.0,8789000000.0,,370000000.0,628000000.0,9159000000.0,1920000000.0,7239000000.0,7214000000.0,1.65,0.606,0.207,0.2157,0.1699,0.1541,10639000000.0,8789000000.0,1.6516,1.674,1.6715,7239000000.0,,7239000000.0,0.2506,0.2087,KO
2016-06-30 00:00:00,43248000000.0,17171000000.0,26077000000.0,15817000000.0,8897000000.0,,559000000.0,584000000.0,9456000000.0,1814000000.0,7642000000.0,7617000000.0,1.74,0.603,0.2057,0.2186,0.1761,0.1572,10809000000.0,8897000000.0,1.7413,1.7648,1.7623,7642000000.0,,7642000000.0,0.2499,0.2134,KO
2016-03-31 00:00:00,43865000000.0,17448000000.0,26417000000.0,16109000000.0,8573000000.0,,945000000.0,550000000.0,9518000000.0,2225000000.0,7293000000.0,7277000000.0,1.66,0.6022,0.1954,0.217,0.1659,0.1614,10528000000.0,8573000000.0,1.6566,1.6788,1.6763,7293000000.0,,7293000000.0,0.24,0.2179,KO
