Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2018-03-31 00:00:00,30696000000.0,3085000000.0,27611000000.0,21339000000.0,6045000000.0,,6045000000.0,3380000000.0,2665000000.0,2236000000.0,4.59,0.8995,0.0,0.1969,0.0728,0.3787,4.86,-0.29,5.1783,-0.3,4.9,2665000000.0,-147000000.0,2518000000.0,0.0,0.4113,COF
2017-12-31 00:00:00,29999000000.0,2762000000.0,27237000000.0,21500000000.0,5492000000.0,,5492000000.0,3375000000.0,2117000000.0,1704000000.0,3.51,0.9079,0.0,0.1831,0.0568,0.4388,3.76,-0.27,4.0934,-0.28,3.8,2117000000.0,-135000000.0,1982000000.0,0.0,0.4727,COF
2017-09-30 00:00:00,29323000000.0,2533000000.0,26790000000.0,21186000000.0,5319000000.0,,5319000000.0,1547000000.0,3772000000.0,3457000000.0,7.15,0.9136,0.0,0.1814,0.1179,0.3765,7.14,-0.06,7.7505,-0.06,7.23,3772000000.0,-28000000.0,3744000000.0,0.0,0.4122,COF
2017-06-30 00:00:00,28596000000.0,2330000000.0,26266000000.0,20707000000.0,5246000000.0,,5246000000.0,1595000000.0,3651000000.0,3372000000.0,6.91,0.9185,0.0,0.1835,0.1179,0.3977,6.86,-0.02,7.4732,-0.02,6.95,3651000000.0,-9000000.0,3642000000.0,0.0,0.4305,COF
2017-03-31 00:00:00,27969000000.0,2153000000.0,25816000000.0,20346000000.0,5123000000.0,,5123000000.0,1576000000.0,3547000000.0,3295000000.0,6.65,0.923,0.0,0.1832,0.1178,0.3593,6.59,0.0,7.1736,0.0,6.67,3547000000.0,1000000.0,3548000000.0,0.0,0.3903,COF
2016-12-31 00:00:00,27519000000.0,2018000000.0,25501000000.0,19631000000.0,5484000000.0,,5484000000.0,1714000000.0,3770000000.0,3513000000.0,6.94,0.9267,0.0,0.1993,0.1277,0.4025,6.93,-0.04,7.4292,-0.04,7.0,3770000000.0,-19000000.0,3751000000.0,0.0,0.4308,COF
2016-09-30 00:00:00,27008000000.0,1879000000.0,25129000000.0,19058000000.0,5683000000.0,,5683000000.0,1798000000.0,3885000000.0,3651000000.0,7.07,0.9304,0.0,0.2104,0.1352,0.3834,7.02,0.0,7.5187,0.0,7.07,3885000000.0,-5000000.0,3880000000.0,0.0,0.4067,COF
2016-06-30 00:00:00,26334000000.0,1766000000.0,24568000000.0,18344000000.0,5819000000.0,,5819000000.0,1832000000.0,3987000000.0,3768000000.0,7.15,0.9329,0.0,0.221,0.1431,0.4451,7.09,0.01,7.5738,0.01,7.14,3987000000.0,2000000.0,3989000000.0,0.0,0.4689,COF
2016-03-31 00:00:00,25674000000.0,1688000000.0,23986000000.0,17877000000.0,5688000000.0,,5688000000.0,1792000000.0,3896000000.0,3727000000.0,6.97,0.9343,0.0,0.2215,0.1452,0.4566,6.88,0.03,7.3146,0.03,6.94,3896000000.0,14000000.0,3910000000.0,0.0,0.4766,COF
2015-12-31 00:00:00,25038000000.0,1625000000.0,23413000000.0,17102000000.0,5881000000.0,,5881000000.0,1869000000.0,4012000000.0,3872000000.0,7.15,0.9351,0.0,0.2349,0.1546,0.3832,7.0,0.07,7.4751,0.07,7.08,4012000000.0,38000000.0,4050000000.0,0.0,0.4045,COF
2015-09-30 00:00:00,24623000000.0,1591000000.0,23032000000.0,16615000000.0,5967000000.0,,5967000000.0,1893000000.0,4074000000.0,3998000000.0,7.31,0.9354,0.0,0.2423,0.1624,0.4102,7.11,0.1,7.5459,0.1,7.21,4074000000.0,55000000.0,4129000000.0,0.0,0.4308,COF
2015-06-30 00:00:00,24348000000.0,1577000000.0,22771000000.0,16317000000.0,5980000000.0,,5980000000.0,1899000000.0,4081000000.0,3975000000.0,7.2,0.9352,0.0,0.2456,0.1633,0.3389,7.06,0.03,7.4159,0.03,7.17,4081000000.0,15000000.0,4096000000.0,0.0,0.3586,COF
2015-03-31 00:00:00,24141000000.0,1574000000.0,22567000000.0,15539000000.0,6529000000.0,,6529000000.0,2096000000.0,4433000000.0,4322000000.0,7.75,0.9348,0.0,0.2705,0.179,0.3153,7.64,-0.01,7.9382,-0.01,7.76,4433000000.0,-6000000.0,4427000000.0,0.0,0.3371,COF
2014-12-31 00:00:00,23869000000.0,1579000000.0,22290000000.0,15189000000.0,6569000000.0,,6569000000.0,2146000000.0,4423000000.0,4343000000.0,7.71,0.9338,0.0,0.2752,0.182,0.3688,7.58,0.01,7.8636,0.01,7.7,4423000000.0,5000000.0,4428000000.0,0.0,0.3898,COF
2014-09-30 00:00:00,23627000000.0,1606000000.0,22021000000.0,14945000000.0,6501000000.0,,6501000000.0,2173000000.0,4328000000.0,4204000000.0,7.42,0.932,0.0,0.2752,0.1779,0.3659,7.38,-0.13,7.5424,-0.14,7.5,4328000000.0,-47000000.0,4281000000.0,0.0,0.3913,COF
2014-06-30 00:00:00,23687000000.0,1654000000.0,22033000000.0,14894000000.0,6533000000.0,,6533000000.0,2212000000.0,4321000000.0,4235000000.0,7.42,0.9302,0.0,0.2758,0.1788,0.3952,7.3,-0.03,7.5093,-0.04,7.42,4321000000.0,-16000000.0,4305000000.0,0.0,0.4213,COF
2014-03-31 00:00:00,23917000000.0,1714000000.0,22203000000.0,14960000000.0,6606000000.0,,6606000000.0,2262000000.0,4344000000.0,4149000000.0,7.24,0.9283,0.0,0.2762,0.1735,0.4207,7.29,-0.21,7.3107,-0.22,7.41,4344000000.0,-125000000.0,4219000000.0,0.0,0.4504,COF
2013-12-31 00:00:00,24176000000.0,1792000000.0,22384000000.0,15135000000.0,6578000000.0,,6578000000.0,2224000000.0,4354000000.0,4051000000.0,7.06,0.9259,0.0,0.2721,0.1676,0.3791,7.28,-0.39,7.1088,-0.4,7.39,4354000000.0,-233000000.0,4121000000.0,0.0,0.413,COF
2013-09-30 00:00:00,24427000000.0,1963000000.0,22464000000.0,15442000000.0,6326000000.0,,6593000000.0,2291000000.0,4302000000.0,4017000000.0,7.01,0.9196,0.0,0.2699,0.1644,0.3325,7.02,-0.3,6.8913,-0.31,7.13,4302000000.0,-215000000.0,4087000000.0,0.0,0.3662,COF
2013-06-30 00:00:00,24728000000.0,2133000000.0,22595000000.0,15457000000.0,6404000000.0,,6623000000.0,2251000000.0,4372000000.0,4103000000.0,7.15,0.9137,0.0,0.2678,0.1659,0.391,7.19,-0.34,7.0307,-0.35,7.29,4372000000.0,-212000000.0,4160000000.0,0.0,0.4213,COF
2013-03-31 00:00:00,24303000000.0,2291000000.0,22012000000.0,16373000000.0,4915000000.0,,5001000000.0,1663000000.0,3338000000.0,3104000000.0,5.42,0.9057,0.0,0.2058,0.1277,0.3875,5.47,-0.31,5.2862,-0.32,5.54,3338000000.0,-193000000.0,3145000000.0,0.0,0.4138,COF
2012-12-31 00:00:00,23771000000.0,2375000000.0,21396000000.0,15603000000.0,5184000000.0,,5184000000.0,1475000000.0,3709000000.0,3462000000.0,6.35,0.9001,0.0,0.2181,0.1456,0.3771,6.49,-0.38,6.2235,-0.39,6.56,3709000000.0,-217000000.0,3492000000.0,0.0,0.4007,COF
