Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,2038419100.0,484730000.0,1553689100.0,191375000.0,595417900.0,-639196000.0,392178000.0,-43778000.0,-37140000.0,-6638000.0,-6056000.0,-0.07,0.7622,0.2921,-0.0215,-0.003,0.4258,1558011900.0,595417900.0,-0.0863,-0.0682,-0.0682,-6638000.0,,-6638000.0,0.7643,0.5029,SBAC
2019-12-31 00:00:00,2014645100.0,493031000.0,1521614100.0,192717000.0,583487900.0,-396599000.0,393229000.0,186889000.0,39605000.0,147284000.0,146991000.0,1.3,0.7553,0.2896,0.0928,0.073,0.4049,1300923900.0,583487900.0,1.2842,1.3056,1.3056,147284000.0,,147284000.0,0.6457,0.4815,SBAC
2019-09-30 00:00:00,1984835900.0,494075000.0,1490760900.0,184381000.0,579892800.0,-404320100.0,393210000.0,175573000.0,38692000.0,136881000.0,136794000.0,1.2,0.7511,0.2922,0.0885,0.0689,0.3906,1287225900.0,579892900.0,1.1948,1.2057,1.2057,136881000.0,,136881000.0,0.6485,0.4693,SBAC
2019-06-30 00:00:00,1944509900.0,487307000.0,1457202900.0,177017000.0,564051800.0,-393078100.0,392330000.0,170974000.0,39715000.0,131259000.0,131259000.0,1.15,0.7494,0.2901,0.0879,0.0675,0.3794,1273334800.0,564051900.0,1.1448,1.154,1.154,131259000.0,,131259000.0,0.6548,0.4586,SBAC
2019-03-31 00:00:00,1900685900.0,477273000.0,1423412900.0,157436000.0,553470800.0,-505718100.0,388509000.0,47753000.0,5858000.0,41895000.0,41895000.0,0.37,0.7489,0.2912,0.0251,0.022,0.3891,1262024900.0,553470900.0,0.3678,0.3728,0.3728,41895000.0,,41895000.0,0.664,0.4707,SBAC
2018-12-31 00:00:00,1865694900.0,468795000.0,1396899900.0,142526000.0,544165800.0,-492482100.0,378857000.0,51684000.0,4233000.0,47451000.0,47451000.0,0.41,0.7487,0.2917,0.0277,0.0254,0.3756,1236567900.0,544165900.0,0.4072,0.413,0.413,47451000.0,,47451000.0,0.6628,0.4559,SBAC
2018-09-30 00:00:00,1824918000.0,461022000.0,1363896000.0,137421000.0,512926000.0,-523541000.0,367348000.0,-10615000.0,-8575000.0,-2040000.0,-2040000.0,-0.02,0.7474,0.2811,-0.0058,-0.0011,0.3866,1193672100.0,512926000.0,-0.0271,-0.0195,-0.0195,-2040000.0,,-2040000.0,0.6541,0.4664,SBAC
2018-06-30 00:00:00,1791642000.0,455749000.0,1335893000.0,135072000.0,491931000.0,-464172000.0,353081000.0,27759000.0,-3218000.0,30977000.0,30977000.0,0.25,0.7456,0.2746,0.0155,0.0173,0.3869,1196111100.0,491931000.0,0.2401,0.2501,0.2501,30977000.0,,30977000.0,0.6676,0.4685,SBAC
2018-03-31 00:00:00,1762613000.0,450679000.0,1311934000.0,132523000.0,480650000.0,-364628000.0,337977000.0,116022000.0,18421000.0,97601000.0,97601000.0,0.83,0.7443,0.2727,0.0658,0.0554,0.3871,1170735000.0,480650000.0,0.8143,0.8249,0.8249,97601000.0,,97601000.0,0.6642,0.4679,SBAC
2017-12-31 00:00:00,1727674000.0,446312000.0,1281362000.0,130697000.0,458501000.0,-341610000.0,326628000.0,116891000.0,13237000.0,103654000.0,103654000.0,0.87,0.7417,0.2654,0.0677,0.06,0.3886,1155964000.0,458501000.0,0.8565,0.8647,0.8647,103654000.0,,103654000.0,0.6691,0.4737,SBAC
