Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,2408787800.0,672631000.0,1736156800.0,161390000.0,1107849000.0,524709800.0,6708000.0,,531418000.0,-1361225000.0,1892643000.0,,1889059000.0,23.99,0.7208,0.2178,0.2206,0.7842,0.199,606121800.0,524709900.0,23.8474,23.9917,23.9917,1889059000.0,1889059000.0,0.2516,0.2656,ALGN
2019-12-31 00:00:00,2406795800.0,662899000.0,1743896800.0,157361000.0,1072053000.0,542492800.0,20158000.0,,562651000.0,112347000.0,450304000.0,-9611000.0,442776000.0,5.57,0.7246,0.2254,0.2338,0.184,0.2483,621482800.0,542492900.0,5.5279,5.5748,5.5748,442776000.0,442776000.0,0.2582,0.3105,ALGN
2019-09-30 00:00:00,2291028800.0,635994000.0,1655034800.0,151838000.0,1019391000.0,511815900.0,17030000.0,,528846000.0,100329000.0,428517000.0,,418906000.0,5.25,0.7224,0.2234,0.2308,0.1828,0.2658,585551900.0,511815900.0,5.2036,5.2519,5.2519,418906000.0,418906000.0,0.2556,0.3363,ALGN
2019-06-30 00:00:00,2188976800.0,599715000.0,1589261800.0,144858000.0,955750000.0,509871900.0,17160000.0,,527032000.0,99035000.0,427997000.0,-10743000.0,417254000.0,5.22,0.726,0.2329,0.2408,0.1906,0.2026,578020900.0,509871900.0,5.159,5.2188,5.2188,417254000.0,417254000.0,0.2641,0.2888,ALGN
2019-03-31 00:00:00,2078538800.0,555984000.0,1522554800.0,136811000.0,899889000.0,456072900.0,-5379000.0,,450694000.0,63617000.0,387077000.0,-10860000.0,376217000.0,4.7,0.7325,0.2194,0.2168,0.181,0.1893,517681900.0,456072900.0,4.6356,4.7009,4.7009,376217000.0,376217000.0,0.2491,0.286,ALGN
2018-12-31 00:00:00,1966491800.0,518625000.0,1447866800.0,128899000.0,852404000.0,466563900.0,87000.0,,466651000.0,57723000.0,408928000.0,-8693000.0,400235000.0,5.0,0.7363,0.2373,0.2373,0.2035,0.1685,521290900.0,466563900.0,4.9195,4.999,4.999,400235000.0,400235000.0,0.2651,0.2821,ALGN
2018-09-30 00:00:00,1853795000.0,471107000.0,1382688000.0,119265000.0,807726000.0,455697000.0,1149000.0,,456846000.0,138860000.0,317986000.0,-4879000.0,313107000.0,3.91,0.7459,0.2458,0.2464,0.1689,0.1279,504906100.0,455697000.0,3.8363,3.908,3.908,313107000.0,313107000.0,0.2724,0.2566,ALGN
2018-06-30 00:00:00,1733773000.0,430378000.0,1303395000.0,110766000.0,763377000.0,429252000.0,3502000.0,,432754000.0,132603000.0,300151000.0,-5361000.0,294790000.0,3.68,0.7518,0.2476,0.2496,0.17,0.1526,474314100.0,429252000.0,3.6059,3.6786,3.6786,294790000.0,294790000.0,0.2736,0.287,ALGN
2018-03-31 00:00:00,1599996000.0,391266000.0,1208730000.0,104346000.0,714254000.0,390130000.0,11896000.0,,402026000.0,140287000.0,261739000.0,-3875000.0,257864000.0,3.22,0.7555,0.2438,0.2513,0.1612,0.1716,431436100.0,390130000.0,3.151,3.2186,3.2186,257864000.0,257864000.0,0.2696,0.2927,ALGN
2017-12-31 00:00:00,1473413000.0,356466000.0,1116947000.0,97559000.0,665777000.0,353611000.0,11188000.0,,364799000.0,130162000.0,234637000.0,-3219000.0,231418000.0,2.89,0.7581,0.24,0.2476,0.1571,0.1648,391350100.0,353611000.0,2.828,2.8896,2.8896,231418000.0,231418000.0,0.2656,0.2976,ALGN
2017-09-30 00:00:00,1345293000.0,326014000.0,1019279000.0,92998000.0,613904000.0,312377000.0,1091000.0,,313468000.0,38536000.0,274932000.0,-6157000.0,268775000.0,3.36,0.7577,0.2322,0.233,0.1998,0.1612,346308000.0,312377000.0,3.29,3.3592,3.3592,268775000.0,268775000.0,0.2574,0.2655,ALGN
2017-06-30 00:00:00,1238615000.0,302622000.0,935993000.0,89212000.0,571088000.0,275693000.0,-1196000.0,,274497000.0,31890000.0,242607000.0,-5020000.0,237587000.0,2.97,0.7557,0.2226,0.2216,0.1918,0.1528,306553000.0,275693000.0,2.9111,2.9717,2.9717,237587000.0,237587000.0,0.2475,0.2413,ALGN
2017-03-31 00:00:00,1151495000.0,281203000.0,870292000.0,83441000.0,529591000.0,257260000.0,-4283000.0,,252977000.0,31616000.0,221361000.0,,218556000.0,2.74,0.7558,0.2234,0.2197,0.1898,0.1343,284337000.0,257260000.0,2.6806,2.7362,2.7362,218556000.0,218556000.0,0.2469,0.2298,ALGN
2016-12-31 00:00:00,1079874000.0,264580000.0,815294000.0,75720000.0,490653000.0,248921000.0,-6355000.0,,242566000.0,51200000.0,191366000.0,,189682000.0,2.38,0.755,0.2305,0.2246,0.1757,0.164,272923000.0,248921000.0,2.3278,2.3753,2.3753,189682000.0,189682000.0,0.2527,0.2293,ALGN
2016-09-30 00:00:00,1016947000.0,249092000.0,767855000.0,68000000.0,459967000.0,239888000.0,1474000.0,,241362000.0,49947000.0,191415000.0,,190938000.0,2.39,0.7551,0.2359,0.2373,0.1878,0.17,261537000.0,239887900.0,2.3449,2.3914,2.3914,190938000.0,190938000.0,0.2572,0.2419,ALGN
