Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-02-29 00:00:00,19599000000.0,13655000000.0,5944000000.0,2550000000.0,852000000.0,2618000000.0,,-259000000.0,161000000.0,5000000.0,2359000000.0,12000000.0,2347000000.0,2297000000.0,2.08,0.3033,0.1336,0.1204,0.1172,0.0268,8091000000.0,2618000000.0,2.1401,2.1647,2.1647,2352000000.0,2352000000.0,0.4128,0.457,MU
2019-11-30 00:00:00,20637000000.0,13184000000.0,7453000000.0,2470000000.0,838000000.0,4135000000.0,,-299000000.0,142000000.0,5000000.0,3836000000.0,271000000.0,3565000000.0,3511000000.0,3.16,0.3611,0.2004,0.1859,0.1701,0.0662,9561000000.0,4135000000.0,3.2051,3.2571,3.2571,3570000000.0,3570000000.0,0.4633,0.5035,MU
2019-08-31 00:00:00,23406000000.0,12704000000.0,10702000000.0,2441000000.0,836000000.0,7376000000.0,,-328000000.0,128000000.0,3000000.0,7048000000.0,693000000.0,6355000000.0,6313000000.0,5.63,0.4572,0.3151,0.3011,0.2697,0.1456,12849000000.0,7376000000.0,5.5626,5.7073,5.7073,6358000000.0,6358000000.0,0.549,0.5635,MU
2019-05-31 00:00:00,26976000000.0,12518000000.0,14458000000.0,2385000000.0,839000000.0,11103000000.0,,-364000000.0,139000000.0,-1000000.0,10739000000.0,642000000.0,10097000000.0,10077000000.0,8.85,0.536,0.4116,0.3981,0.3736,0.2264,16458000000.0,11103000000.0,8.533,8.8862,8.8862,10098000000.0,10098000000.0,0.6101,0.5972,MU
2019-02-28 00:00:00,29985000000.0,12632000000.0,17353000000.0,2382000000.0,844000000.0,14046000000.0,,-307000000.0,190000000.0,0.0,13739000000.0,668000000.0,13071000000.0,13060000000.0,11.39,0.5787,0.4684,0.4582,0.4356,0.2551,19287000000.0,14046000000.0,10.8747,11.4146,11.4146,13070000000.0,13070000000.0,0.6432,0.589,MU
2018-11-30 00:00:00,31501000000.0,12742000000.0,18759000000.0,2304000000.0,831000000.0,15656000000.0,,-368000000.0,251000000.0,0.0,15288000000.0,531000000.0,14757000000.0,14750000000.0,12.8,0.5955,0.497,0.4853,0.4682,0.2841,20750000000.0,15656000000.0,12.125,12.8201,12.8201,14756000000.0,14756000000.0,0.6587,0.5896,MU
2018-08-31 00:00:00,30391000000.0,12500000000.0,17891000000.0,2141000000.0,813000000.0,14994000000.0,,-687000000.0,342000000.0,,14307000000.0,168000000.0,14139000000.0,14135000000.0,12.25,0.5887,0.4934,0.4708,0.4651,0.2804,19854000000.0,14994000000.0,11.5036,12.2726,12.2726,14138000000.0,14138000000.0,0.6533,0.5725,MU
2018-05-31 00:00:00,28089000000.0,12237000000.0,15852000000.0,2021000000.0,791000000.0,13119000000.0,,-837000000.0,440000000.0,2000000.0,12282000000.0,101000000.0,12181000000.0,12178000000.0,10.65,0.5643,0.4671,0.4373,0.4336,0.269,17769000000.0,13119000000.0,10.0318,10.7226,10.7226,12181000000.0,12181000000.0,0.6326,0.55,MU
2018-02-28 00:00:00,25858000000.0,12120000000.0,13738000000.0,1852000000.0,784000000.0,11129000000.0,,-826000000.0,513000000.0,11000000.0,10303000000.0,302000000.0,10001000000.0,10002000000.0,8.84,0.5313,0.4304,0.3984,0.3868,0.2735,15574000000.0,11129000000.0,8.3356,8.9133,8.9133,10005000000.0,10005000000.0,0.6023,0.5257,MU
2017-11-30 00:00:00,23155000000.0,11983000000.0,11172000000.0,1802000000.0,775000000.0,8606000000.0,,-831000000.0,586000000.0,,7775000000.0,197000000.0,7578000000.0,7587000000.0,6.79,0.4825,0.3717,0.3358,0.3277,0.2257,12908000000.0,8606000000.0,6.4318,6.8626,6.8626,7588000000.0,7588000000.0,0.5575,0.46,MU
2017-08-31 00:00:00,20322000000.0,11886000000.0,8436000000.0,1824000000.0,743000000.0,5868000000.0,,-672000000.0,601000000.0,8000000.0,5196000000.0,114000000.0,5082000000.0,5089000000.0,4.6,0.4151,0.2888,0.2557,0.2504,0.1682,9854000000.0,5868000000.0,4.4107,4.6741,4.6741,5090000000.0,5090000000.0,0.4849,0.4012,MU
2017-05-31 00:00:00,17401000000.0,11498000000.0,5903000000.0,1788000000.0,707000000.0,3334000000.0,,-627000000.0,588000000.0,8000000.0,2707000000.0,164000000.0,2543000000.0,2551000000.0,2.31,0.3392,0.1916,0.1556,0.1466,0.0261,6968000000.0,3334000000.0,2.1799,2.3115,2.3115,2551000000.0,2551000000.0,0.4004,0.336,MU
2017-02-28 00:00:00,14733000000.0,10941000000.0,3792000000.0,1736000000.0,651000000.0,1344000000.0,,-534000000.0,544000000.0,-34000000.0,810000000.0,87000000.0,723000000.0,689000000.0,0.61,0.2574,0.0912,0.055,0.0468,-0.1499,4712000000.0,1344000000.0,0.5731,0.6148,0.6148,689000000.0,689000000.0,0.3198,0.2598,MU
2016-11-30 00:00:00,13019000000.0,10352000000.0,2667000000.0,1666000000.0,639000000.0,295000000.0,,-506000000.0,480000000.0,-36000000.0,-211000000.0,54000000.0,-265000000.0,-302000000.0,-0.29,0.2049,0.0227,-0.0162,-0.0232,-0.2231,3434000000.0,295000000.0,-0.2903,-0.2914,-0.2914,-301000000.0,-301000000.0,0.2638,0.2447,MU
2016-08-31 00:00:00,12399000000.0,9894000000.0,2505000000.0,1617000000.0,659000000.0,168000000.0,,-449000000.0,437000000.0,25000000.0,-281000000.0,19000000.0,-300000000.0,-276000000.0,-0.26,0.202,0.0135,-0.0227,-0.0223,-0.2136,3274000000.0,168000000.0,-0.2654,-0.2655,-0.2655,-275000000.0,-275000000.0,0.2641,0.2555,MU
2016-05-31 00:00:00,12782000000.0,9886000000.0,2896000000.0,1585000000.0,672000000.0,627000000.0,,-385000000.0,403000000.0,71000000.0,242000000.0,-53000000.0,295000000.0,365000000.0,0.34,0.2266,0.0491,0.0189,0.0286,-0.1844,3730000000.0,627000000.0,0.3236,0.3435,0.3435,366000000.0,366000000.0,0.2918,0.2583,MU
2016-02-29 00:00:00,13737000000.0,10137000000.0,3600000000.0,1609000000.0,693000000.0,1285000000.0,,-356000000.0,391000000.0,179000000.0,929000000.0,36000000.0,893000000.0,1071000000.0,1.01,0.2621,0.0935,0.0676,0.078,-0.0335,4310000000.0,1285000000.0,0.9508,1.0086,1.0086,1072000000.0,1072000000.0,0.3138,0.3092,MU
2015-11-30 00:00:00,14969000000.0,10543000000.0,4426000000.0,1585000000.0,705000000.0,2145000000.0,,-346000000.0,377000000.0,382000000.0,1799000000.0,78000000.0,1721000000.0,2102000000.0,1.97,0.2957,0.1433,0.1202,0.1404,0.0263,5039000000.0,2145000000.0,1.8292,1.9719,1.9719,2103000000.0,2103000000.0,0.3366,0.3164,MU
2015-08-31 00:00:00,16192000000.0,10977000000.0,5215000000.0,1540000000.0,719000000.0,2998000000.0,,-389000000.0,371000000.0,447000000.0,2609000000.0,157000000.0,2452000000.0,2899000000.0,2.71,0.3221,0.1852,0.1611,0.179,0.0733,5803000000.0,2998000000.0,2.4778,2.7093,2.7093,2899000000.0,2899000000.0,0.3584,0.3216,MU
2015-05-31 00:00:00,16819000000.0,11189000000.0,5630000000.0,1519000000.0,729000000.0,3399000000.0,,-200000000.0,358000000.0,519000000.0,3199000000.0,139000000.0,3060000000.0,3578000000.0,3.35,0.3347,0.2021,0.1902,0.2127,0.1167,6051000000.0,3399000000.0,3.0012,3.3506,3.3506,3579000000.0,3579000000.0,0.3598,0.3285,MU
2015-02-28 00:00:00,16948000000.0,11152000000.0,5796000000.0,1462000000.0,734000000.0,3607000000.0,,-192000000.0,341000000.0,586000000.0,3415000000.0,107000000.0,3308000000.0,3893000000.0,3.65,0.342,0.2128,0.2015,0.2297,0.1328,6130000000.0,3607000000.0,3.2588,3.6484,3.6484,3894000000.0,3894000000.0,0.3617,0.3331,MU
2014-11-30 00:00:00,16889000000.0,11095000000.0,5794000000.0,1427000000.0,724000000.0,3621000000.0,,-310000000.0,341000000.0,512000000.0,3311000000.0,123000000.0,3188000000.0,3690000000.0,3.47,0.3431,0.2144,0.196,0.2185,0.1585,6031000000.0,3621000000.0,3.0901,3.4769,3.4769,3700000000.0,3700000000.0,0.3571,0.3425,MU
2014-08-31 00:00:00,16358000000.0,10921000000.0,5437000000.0,1371000000.0,707000000.0,3087000000.0,,-354000000.0,352000000.0,474000000.0,2733000000.0,128000000.0,2605000000.0,3045000000.0,2.87,0.3324,0.1887,0.1671,0.1861,0.1585,5357000000.0,3087000000.0,2.5702,2.9047,2.9047,3079000000.0,3079000000.0,0.3275,0.3484,MU
2014-05-31 00:00:00,14974000000.0,10214000000.0,4760000000.0,1280000000.0,720000000.0,2466000000.0,,1000000000.0,328000000.0,392000000.0,3466000000.0,220000000.0,3246000000.0,3603000000.0,3.44,0.3179,0.1647,0.2315,0.2406,0.1864,4632000000.0,2466000000.0,3.2522,3.4957,3.4957,3638000000.0,3638000000.0,0.3093,0.3385,MU
2014-02-28 00:00:00,13310000000.0,9362000000.0,3948000000.0,1157000000.0,673000000.0,1776000000.0,,999000000.0,302000000.0,247000000.0,2775000000.0,147000000.0,2628000000.0,2840000000.0,2.72,0.2966,0.1334,0.2085,0.2134,0.1745,3834000000.0,1776000000.0,2.616,2.7823,2.7823,2875000000.0,2875000000.0,0.2881,0.3184,MU
2013-11-30 00:00:00,11281000000.0,8370000000.0,2911000000.0,1027000000.0,619000000.0,884000000.0,,986000000.0,275000000.0,55000000.0,1870000000.0,75000000.0,1795000000.0,1823000000.0,1.75,0.258,0.0784,0.1658,0.1616,0.1245,2866000000.0,884000000.0,1.7195,1.8037,1.8037,1850000000.0,1850000000.0,0.2541,0.2732,MU
2013-08-31 00:00:00,9073000000.0,7226000000.0,1847000000.0,931000000.0,562000000.0,236000000.0,,1049000000.0,231000000.0,-83000000.0,1285000000.0,8000000.0,1277000000.0,1190000000.0,1.14,0.2036,0.026,0.1416,0.1312,0.0407,2162000000.0,236000000.0,1.1297,1.1683,1.1683,1194000000.0,1194000000.0,0.2383,0.1996,MU
2013-05-31 00:00:00,8193000000.0,6835000000.0,1358000000.0,899000000.0,508000000.0,-109000000.0,,-480000000.0,220000000.0,-152000000.0,-589000000.0,17000000.0,-606000000.0,-761000000.0,-0.75,0.1658,-0.0133,-0.0719,-0.0929,0.024,1840000000.0,-109000000.0,-0.7484,-0.7475,-0.7475,-758000000.0,-758000000.0,0.2246,0.1885,MU
2013-02-28 00:00:00,8047000000.0,7011000000.0,1036000000.0,904000000.0,537000000.0,-446000000.0,,-438000000.0,222000000.0,-257000000.0,-884000000.0,-20000000.0,-864000000.0,-1124000000.0,-1.11,0.1287,-0.0554,-0.1099,-0.1397,0.0232,1579000000.0,-446000000.0,-1.1136,-1.1136,-1.1136,-1121000000.0,-1121000000.0,0.1962,0.1996,MU
2012-11-30 00:00:00,7978000000.0,7098000000.0,880000000.0,912000000.0,588000000.0,-627000000.0,,-222000000.0,201000000.0,-272000000.0,-849000000.0,-2000000.0,-847000000.0,-1120000000.0,-1.06,0.1103,-0.0786,-0.1064,-0.1404,0.0272,1499000000.0,-627000000.0,-1.121,-1.121,-1.121,-1119000000.0,-1119000000.0,0.1879,0.2946,MU
