Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2019-03-31 00:00:00,231367000000.0,176674000000.0,54693000000.0,18123000000.0,-1471000000.0,1471000000.0,16652000000.0,3637000000.0,13015000000.0,12617000000.0,12.88,0.2364,0.0783,0.072,0.0545,0.0364,20608000000.0,18123000000.0,13.2819,13.5437,13.5437,13015000000.0,13015000000.0,0.0891,0.0457,UNH
2018-12-31 00:00:00,226247000000.0,172401000000.0,53846000000.0,17344000000.0,-1400000000.0,1400000000.0,15944000000.0,3562000000.0,12382000000.0,11986000000.0,12.19,0.238,0.0767,0.0705,0.053,0.0603,19772000000.0,17344000000.0,12.5962,12.8577,12.8577,12382000000.0,12382000000.0,0.0874,0.0695,UNH
2018-09-30 00:00:00,219891000000.0,167507000000.0,52384000000.0,16824000000.0,-1334000000.0,1334000000.0,15490000000.0,2551000000.0,12939000000.0,12563000000.0,12.74,0.2382,0.0765,0.0704,0.0571,0.0391,19193000000.0,16824000000.0,13.1339,13.4199,13.4199,12939000000.0,12939000000.0,0.0873,0.0488,UNH
2018-06-30 00:00:00,213657000000.0,162900000000.0,50757000000.0,16322000000.0,-1275000000.0,1275000000.0,15047000000.0,2831000000.0,12216000000.0,11860000000.0,12.01,0.2376,0.0764,0.0704,0.0555,0.0715,18658000000.0,16322000000.0,12.3826,12.6519,12.6519,12216000000.0,12216000000.0,0.0873,0.0812,UNH
2018-03-31 00:00:00,207624000000.0,158440000000.0,49184000000.0,15849000000.0,-1232000000.0,1232000000.0,14617000000.0,3061000000.0,11556000000.0,11222000000.0,11.35,0.2369,0.0763,0.0704,0.054,0.0651,18143000000.0,15849000000.0,11.7032,11.9575,11.9575,11556000000.0,11556000000.0,0.0874,0.0747,UNH
2017-12-31 00:00:00,201159000000.0,154148000000.0,47011000000.0,15209000000.0,-1186000000.0,1186000000.0,14023000000.0,3200000000.0,10823000000.0,10558000000.0,10.71,0.2337,0.0756,0.0697,0.0525,0.0575,17454000000.0,15209000000.0,10.9879,11.2272,11.2272,10823000000.0,10823000000.0,0.0868,0.0676,UNH
2017-09-30 00:00:00,196633000000.0,150466000000.0,46167000000.0,14419000000.0,-1146000000.0,1146000000.0,13273000000.0,4463000000.0,8810000000.0,8625000000.0,9.02,0.2348,0.0733,0.0675,0.0439,0.0655,16613000000.0,14419000000.0,8.9855,9.1741,9.1741,8810000000.0,8810000000.0,0.0845,0.0751,UNH
2017-06-30 00:00:00,192604000000.0,147362000000.0,45242000000.0,13911000000.0,-1121000000.0,1121000000.0,12790000000.0,4563000000.0,8227000000.0,8108000000.0,8.54,0.2349,0.0722,0.0664,0.0421,0.0654,16042000000.0,13911000000.0,8.4373,8.6061,8.6061,8227000000.0,8227000000.0,0.0833,0.0749,UNH
2017-03-31 00:00:00,189036000000.0,144902000000.0,44134000000.0,13383000000.0,-1091000000.0,1091000000.0,12292000000.0,4655000000.0,7637000000.0,7578000000.0,8.03,0.2335,0.0708,0.065,0.0401,0.0643,15469000000.0,13383000000.0,7.8716,8.019,8.019,7637000000.0,7637000000.0,0.0818,0.0737,UNH
2016-12-31 00:00:00,184840000000.0,141454000000.0,43386000000.0,12930000000.0,-1067000000.0,1067000000.0,11863000000.0,4790000000.0,7073000000.0,7017000000.0,7.47,0.2347,0.07,0.0642,0.038,0.0438,14985000000.0,12930000000.0,7.3069,7.4296,7.4296,7073000000.0,7073000000.0,0.0811,0.053,UNH
2016-09-30 00:00:00,180904000000.0,139535000000.0,41369000000.0,12211000000.0,-1059000000.0,1059000000.0,11152000000.0,4535000000.0,6617000000.0,6551000000.0,6.77,0.2287,0.0675,0.0616,0.0362,0.0719,14223000000.0,12211000000.0,6.8399,6.9492,6.9492,6617000000.0,6617000000.0,0.0786,0.0813,UNH
2016-06-30 00:00:00,176100000000.0,136211000000.0,39889000000.0,11649000000.0,-1019000000.0,1019000000.0,10630000000.0,4373000000.0,6257000000.0,6180000000.0,6.39,0.2265,0.0661,0.0604,0.0351,0.0492,13598000000.0,11649000000.0,6.4718,6.5693,6.5693,6257000000.0,6257000000.0,0.0772,0.0585,UNH
2016-03-31 00:00:00,165878000000.0,127484000000.0,38394000000.0,11341000000.0,-899000000.0,899000000.0,10442000000.0,4360000000.0,6082000000.0,6011000000.0,6.22,0.2315,0.0684,0.0629,0.0362,0.0493,13158000000.0,11341000000.0,6.2925,6.3835,6.3835,6082000000.0,6082000000.0,0.0793,0.059,UNH
2015-12-31 00:00:00,157107000000.0,120081000000.0,37026000000.0,11021000000.0,-790000000.0,790000000.0,10231000000.0,4363000000.0,5868000000.0,5813000000.0,6.01,0.2357,0.0701,0.0651,0.037,0.0521,12714000000.0,11021000000.0,6.0682,6.1574,6.1574,5868000000.0,5868000000.0,0.0809,0.062,UNH
2015-09-30 00:00:00,146941000000.0,110856000000.0,36085000000.0,11318000000.0,-681000000.0,681000000.0,10637000000.0,4511000000.0,6126000000.0,6105000000.0,6.3,0.2456,0.077,0.0724,0.0415,0.0489,12908000000.0,11318000000.0,6.3154,6.4152,6.4152,6126000000.0,6126000000.0,0.0878,0.0589,UNH
2015-06-30 00:00:00,138211000000.0,103062000000.0,35149000000.0,11203000000.0,-604000000.0,604000000.0,10599000000.0,4489000000.0,6110000000.0,6110000000.0,6.28,0.2543,0.0811,0.0767,0.0442,0.0545,12714000000.0,11203000000.0,6.2736,6.3707,6.3707,6110000000.0,6110000000.0,0.092,0.0656,UNH
2015-03-31 00:00:00,134522000000.0,100263000000.0,34259000000.0,10860000000.0,-608000000.0,608000000.0,10252000000.0,4319000000.0,5933000000.0,5933000000.0,6.06,0.2547,0.0807,0.0762,0.0441,0.0548,12356000000.0,10860000000.0,6.0536,6.144,6.144,5933000000.0,5933000000.0,0.0919,0.0662,UNH
2014-12-31 00:00:00,130474000000.0,97459000000.0,33015000000.0,10274000000.0,-618000000.0,618000000.0,9656000000.0,4037000000.0,5619000000.0,5619000000.0,5.7,0.253,0.0787,0.074,0.0431,0.05,11752000000.0,10274000000.0,5.6988,5.7809,5.7809,5619000000.0,5619000000.0,0.0901,0.0617,UNH
2014-09-30 00:00:00,128158000000.0,96281000000.0,31877000000.0,9961000000.0,-643000000.0,643000000.0,9318000000.0,3782000000.0,5536000000.0,5536000000.0,5.56,0.2487,0.0777,0.0727,0.0432,0.0398,11408000000.0,9961000000.0,5.5632,5.6413,5.6413,5536000000.0,5536000000.0,0.089,0.0522,UNH
2014-06-30 00:00:00,126023000000.0,95009000000.0,31014000000.0,9689000000.0,-669000000.0,669000000.0,9020000000.0,3516000000.0,5504000000.0,5504000000.0,5.46,0.2461,0.0769,0.0716,0.0437,0.0424,11112000000.0,9689000000.0,5.465,5.5517,5.5517,5504000000.0,5504000000.0,0.0882,0.0546,UNH
2014-03-31 00:00:00,123857000000.0,93399000000.0,30458000000.0,9538000000.0,-690000000.0,690000000.0,8848000000.0,3316000000.0,5532000000.0,5532000000.0,5.44,0.2459,0.077,0.0714,0.0447,0.0485,10937000000.0,9538000000.0,5.4438,5.5367,5.5367,5532000000.0,5532000000.0,0.0883,0.0593,UNH
2013-12-31 00:00:00,122489000000.0,92550000000.0,29939000000.0,9623000000.0,-708000000.0,708000000.0,8915000000.0,3242000000.0,5673000000.0,5625000000.0,5.5,0.2444,0.0786,0.0728,0.0459,0.0464,10998000000.0,9623000000.0,5.5455,5.6392,5.6392,5673000000.0,5673000000.0,0.0898,0.0571,UNH
2013-09-30 00:00:00,120141000000.0,90313000000.0,29828000000.0,9272000000.0,-705000000.0,705000000.0,8567000000.0,3077000000.0,5490000000.0,5442000000.0,5.29,0.2483,0.0772,0.0713,0.0453,0.0539,10667000000.0,9272000000.0,5.3383,5.4282,5.4282,5490000000.0,5490000000.0,0.0888,0.0633,UNH
2013-06-30 00:00:00,116819000000.0,87636000000.0,29183000000.0,9251000000.0,-685000000.0,685000000.0,8566000000.0,3089000000.0,5477000000.0,5429000000.0,5.26,0.2498,0.0792,0.0733,0.0465,0.0242,10614000000.0,9251000000.0,5.3037,5.388,5.388,5477000000.0,5477000000.0,0.0909,0.0335,UNH
2013-03-31 00:00:00,113676000000.0,85427000000.0,28249000000.0,9076000000.0,-662000000.0,662000000.0,8414000000.0,3036000000.0,5378000000.0,5330000000.0,5.13,0.2485,0.0798,0.074,0.0469,0.0308,10425000000.0,9076000000.0,5.1786,5.2654,5.2654,5378000000.0,5378000000.0,0.0917,0.0407,UNH
2012-12-31 00:00:00,110618000000.0,82749000000.0,27869000000.0,9254000000.0,-632000000.0,632000000.0,8622000000.0,3096000000.0,5526000000.0,5526000000.0,5.28,0.2519,0.0837,0.0779,0.05,0.055,10563000000.0,9254000000.0,5.2829,5.3808,5.3808,5526000000.0,5526000000.0,0.0955,0.0647,UNH
