Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,7954000000.0,,7954000000.0,195000000.0,6067000000.0,1329000000.0,-35000000.0,,1294000000.0,333000000.0,961000000.0,958000000.0,4.5934,1.0,0.1671,0.1627,0.1204,0.4212,1496000000.0,1329000000.0,4.5121,4.6079,4.6079,961000000.0,961000000.0,0.1881,0.44,RJF
2019-12-31 00:00:00,7745000000.0,,7745000000.0,195000000.0,5856000000.0,1333000000.0,69000000.0,336000000.0,1402000000.0,349000000.0,1053000000.0,1050000000.0,5.0134,1.0,0.1721,0.181,0.1356,0.097,1468000000.0,1333000000.0,4.9228,5.0296,5.0296,1053000000.0,1053000000.0,0.1895,0.1159,RJF
2019-09-30 00:00:00,7740000000.0,,7740000000.0,194000000.0,5763000000.0,1412000000.0,-37000000.0,358000000.0,1375000000.0,341000000.0,1034000000.0,1032000000.0,4.88,1.0,0.1824,0.1776,0.1333,0.0567,1538000000.0,1412000000.0,4.7871,4.8889,4.8889,1034000000.0,1034000000.0,0.1987,0.0745,RJF
2019-06-30 00:00:00,7825000000.0,,7825000000.0,188000000.0,5672000000.0,1621000000.0,-250000000.0,284000000.0,1371000000.0,339000000.0,1032000000.0,1030000000.0,4.8133,1.0,0.2072,0.1752,0.1316,0.0535,1761000000.0,1621000000.0,4.7208,4.8234,4.8234,1032000000.0,1032000000.0,0.225,0.0714,RJF
2019-03-31 00:00:00,7716000000.0,,7716000000.0,188000000.0,5592000000.0,1588000000.0,-241000000.0,265000000.0,1347000000.0,342000000.0,1005000000.0,1004000000.0,4.6466,1.0,0.2058,0.1746,0.1301,0.0227,1736000000.0,1588000000.0,4.5537,4.6559,4.6559,1005000000.0,1005000000.0,0.225,0.0386,RJF
2018-12-31 00:00:00,7714000000.0,,7714000000.0,190000000.0,5558000000.0,1621000000.0,-289000000.0,235000000.0,1332000000.0,345000000.0,987000000.0,986000000.0,4.5266,1.0,0.2101,0.1727,0.1278,0.0729,1747000000.0,1621000000.0,4.4317,4.5343,4.5343,987000000.0,987000000.0,0.2265,0.0891,RJF
2018-09-30 00:00:00,7476000000.0,,7476000000.0,181000000.0,5423000000.0,1537000000.0,-226000000.0,202000000.0,1311000000.0,454000000.0,857000000.0,856000000.0,3.92,1.0,0.2056,0.1754,0.1145,0.1003,1657000000.0,1537000000.0,3.8397,3.9321,3.9321,857000000.0,857000000.0,0.2216,0.1182,RJF
2018-06-30 00:00:00,7246811000.0,,7246811000.0,172814000.0,5241333000.0,1418823100.0,-178582000.0,181797000.0,1240241000.0,451840000.0,788401000.0,786915000.0,3.6133,1.0,0.1958,0.1711,0.1086,-0.188,1496142100.0,1418823000.0,3.5408,3.6269,3.6269,788401000.0,788401000.0,0.2065,-0.1696,RJF
2018-03-31 00:00:00,7018918000.0,,7018918000.0,155119000.0,5082041000.0,1366899100.0,-167717000.0,166357000.0,1199182000.0,457430000.0,741752000.0,737940000.0,3.4,1.0,0.1947,0.1708,0.1051,-0.0985,1417916100.0,1366899000.0,3.3455,3.4244,3.4244,741752000.0,741752000.0,0.202,-0.079,RJF
2017-12-31 00:00:00,6762232000.0,,6762232000.0,153638000.0,4886320000.0,1188893000.0,-160408000.0,158034000.0,1028485000.0,421188000.0,607297000.0,607433000.0,2.8067,1.0,0.1758,0.1521,0.0898,-0.0973,1243137000.0,1188892900.0,2.7513,2.8149,2.8149,607297000.0,607297000.0,0.1838,-0.0755,RJF
