Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-09-30 00:00:00,11941000000.0,11941000000.0,5040000000.0,6463000000.0,,-114000000.0,143000000.0,6349000000.0,1728000000.0,4621000000.0,4621000000.0,4.3,1.0,0.5412,0.5317,0.387,0.3795,7868000000.0,6463000000.0,4.2871,4.3044,4.3044,4621000000.0,4621000000.0,0.6589,0.4133,MA
2017-06-30 00:00:00,11423000000.0,11423000000.0,4818000000.0,6192000000.0,,-142000000.0,131000000.0,6050000000.0,1675000000.0,4375000000.0,4375000000.0,4.04,1.0,0.5421,0.5296,0.383,0.3678,7540000000.0,6192000000.0,4.0254,4.0395,4.0395,4375000000.0,4375000000.0,0.6601,0.4001,MA
2017-03-31 00:00:00,11064000000.0,11064000000.0,4643000000.0,5919000000.0,,-132000000.0,114000000.0,5787000000.0,1606000000.0,4181000000.0,4181000000.0,3.83,1.0,0.535,0.523,0.3779,0.3529,7211000000.0,5919000000.0,3.8233,3.8348,3.8348,4181000000.0,4181000000.0,0.6518,0.3892,MA
2016-12-31 00:00:00,10776000000.0,10776000000.0,4525000000.0,5761000000.0,,-115000000.0,95000000.0,5646000000.0,1587000000.0,4059000000.0,4059000000.0,3.69,1.0,0.5346,0.5239,0.3767,0.3949,6994000000.0,5761000000.0,3.6866,3.6967,3.6967,4059000000.0,4059000000.0,0.649,0.4303,MA
2016-09-30 00:00:00,10537000000.0,10537000000.0,4551000000.0,5505000000.0,,-145000000.0,77000000.0,5360000000.0,1344000000.0,4016000000.0,4016000000.0,3.62,1.0,0.5224,0.5087,0.3811,0.405,6712000000.0,5505000000.0,3.6267,3.6359,3.6359,4016000000.0,4016000000.0,0.637,0.4404,MA
2016-06-30 00:00:00,10187000000.0,10187000000.0,4501000000.0,5204000000.0,,-125000000.0,69000000.0,5079000000.0,1270000000.0,3809000000.0,3809000000.0,3.4,1.0,0.5108,0.4986,0.3739,0.4033,6381000000.0,5204000000.0,3.4117,3.4202,3.4202,3809000000.0,3809000000.0,0.6264,0.4406,MA
2016-03-31 00:00:00,9883000000.0,9883000000.0,4373000000.0,5075000000.0,,-120000000.0,64000000.0,4955000000.0,1208000000.0,3747000000.0,3747000000.0,3.32,1.0,0.5135,0.5014,0.3791,0.3934,6233000000.0,5075000000.0,3.3261,3.3342,3.3342,3747000000.0,3747000000.0,0.6307,0.4298,MA
2015-12-31 00:00:00,9667000000.0,9667000000.0,4162000000.0,5078000000.0,,-120000000.0,61000000.0,4958000000.0,1150000000.0,3808000000.0,3808000000.0,3.35,1.0,0.5253,0.5129,0.3939,0.3888,6208000000.0,5078000000.0,3.3491,3.358,3.358,3808000000.0,3808000000.0,0.6422,0.4242,MA
2015-09-30 00:00:00,9561000000.0,9561000000.0,4154000000.0,4989000000.0,,-49000000.0,65000000.0,4940000000.0,1221000000.0,3719000000.0,3719000000.0,3.26,1.0,0.5218,0.5167,0.389,0.347,6084000000.0,4989000000.0,3.2459,3.2565,3.2565,3719000000.0,3719000000.0,0.6363,0.39,MA
2015-06-30 00:00:00,9521000000.0,9521000000.0,4074000000.0,5040000000.0,,-34000000.0,61000000.0,5006000000.0,1249000000.0,3757000000.0,3757000000.0,3.28,1.0,0.5294,0.5258,0.3946,0.3641,6110000000.0,5040000000.0,3.2586,3.2692,3.2692,3757000000.0,3757000000.0,0.6417,0.4035,MA
2015-03-31 00:00:00,9499000000.0,9499000000.0,3992000000.0,5172000000.0,,-34000000.0,59000000.0,5138000000.0,1371000000.0,3767000000.0,3767000000.0,3.27,1.0,0.5445,0.5409,0.3966,0.3588,6218000000.0,5172000000.0,3.2478,3.259,3.259,3767000000.0,3767000000.0,0.6546,0.3948,MA
2014-12-31 00:00:00,9441000000.0,9441000000.0,4014000000.0,5106000000.0,,-27000000.0,48000000.0,5079000000.0,1462000000.0,3617000000.0,3617000000.0,3.11,1.0,0.5408,0.538,0.3831,0.3255,6118000000.0,5106000000.0,3.0941,3.1047,3.1047,3617000000.0,3617000000.0,0.648,0.3609,MA
2014-09-30 00:00:00,9122000000.0,9122000000.0,3711000000.0,5008000000.0,,-25000000.0,39000000.0,4983000000.0,1544000000.0,3439000000.0,3439000000.0,2.93,1.0,0.549,0.5463,0.377,0.3906,6432000000.0,5008000000.0,2.9211,2.9309,2.9309,3439000000.0,3439000000.0,0.7051,0.4255,MA
2014-06-30 00:00:00,8850000000.0,8850000000.0,3630000000.0,4836000000.0,,-17000000.0,25000000.0,4819000000.0,1516000000.0,3303000000.0,3303000000.0,2.78,1.0,0.5464,0.5445,0.3732,0.3977,6053000000.0,4836000000.0,2.7731,2.7831,2.7831,3303000000.0,3303000000.0,0.684,0.4314,MA
2014-03-31 00:00:00,8578000000.0,8578000000.0,3533000000.0,4681000000.0,,-2000000.0,15000000.0,4679000000.0,1459000000.0,3220000000.0,3220000000.0,2.678,1.0,0.5457,0.5455,0.3754,0.4109,5717000000.0,4681000000.0,2.6735,2.6825,2.6825,3220000000.0,3220000000.0,0.6665,0.4466,MA
2013-12-31 00:00:00,8312000000.0,8312000000.0,3456000000.0,4503000000.0,,-3000000.0,14000000.0,4500000000.0,1384000000.0,3116000000.0,3116000000.0,2.571,1.0,0.5417,0.5414,0.3749,0.4615,5364000000.0,4503000000.0,2.5646,2.5731,2.5731,3116000000.0,3116000000.0,0.6453,0.4975,MA
2013-09-30 00:00:00,8115000000.0,8115000000.0,3384000000.0,4482000000.0,,1000000.0,14000000.0,4483000000.0,1385000000.0,3098000000.0,3098000000.0,2.539,1.0,0.5523,0.5524,0.3818,0.443,5250000000.0,4482000000.0,2.5296,2.5446,2.5446,3098000000.0,3098000000.0,0.647,0.4685,MA
2013-06-30 00:00:00,7815000000.0,7815000000.0,3274000000.0,4298000000.0,,-3000000.0,21000000.0,4295000000.0,1304000000.0,2991000000.0,2991000000.0,2.428,1.0,0.55,0.5496,0.3827,0.4197,5060000000.0,4298000000.0,2.4202,2.4327,2.4327,2991000000.0,2991000000.0,0.6475,0.4471,MA
2013-03-31 00:00:00,7539000000.0,7539000000.0,3237000000.0,4044000000.0,,-9000000.0,19000000.0,4035000000.0,1192000000.0,2843000000.0,2843000000.0,2.286,1.0,0.5364,0.5352,0.3771,0.4223,4801000000.0,4044000000.0,2.279,2.2898,2.2898,2843000000.0,2843000000.0,0.6368,0.4501,MA
2012-12-31 00:00:00,7391000000.0,7391000000.0,3204000000.0,3937000000.0,,24000000.0,20000000.0,3933000000.0,1174000000.0,2759000000.0,2759000000.0,2.201,1.0,0.5327,0.5321,0.3733,0.3694,4686000000.0,3937000000.0,2.1932,2.202,2.202,2759000000.0,2759000000.0,0.634,0.3989,MA
