Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,6603000000.0,779000000.0,5824000000.0,4134000000.0,1690000000.0,37000000.0,1690000000.0,340000000.0,1350000000.0,1264000000.0,1.29,0.882,0.0,0.2559,0.1914,0.3915,1.3689,,1.3726,,1.3726,1350000000.0,,1350000000.0,0.0,0.4225,RF
2019-12-31 00:00:00,6712000000.0,851000000.0,5861000000.0,3876000000.0,1985000000.0,-47000000.0,1985000000.0,403000000.0,1582000000.0,1503000000.0,1.51,0.8732,0.0,0.2957,0.2239,0.3544,1.5836,,1.59,,1.59,1582000000.0,,1582000000.0,0.0,0.3845,RF
2019-09-30 00:00:00,6635000000.0,815000000.0,5820000000.0,3831000000.0,1989000000.0,,1989000000.0,390000000.0,1599000000.0,1527000000.0,1.51,0.8772,0.0,0.2998,0.2301,0.435,1.5514,,1.5758,,1.5668,1599000000.0,,1599000000.0,0.0,0.4654,RF
2019-06-30 00:00:00,6558000000.0,772000000.0,5786000000.0,3858000000.0,1928000000.0,,1928000000.0,368000000.0,1560000000.0,1690000000.0,1.62,0.8823,0.0,0.294,0.2577,0.4155,1.4587,,1.6811,,1.4828,1560000000.0,,1754000000.0,0.0,0.4477,RF
2019-03-31 00:00:00,6475000000.0,687000000.0,5788000000.0,3876000000.0,1912000000.0,,1912000000.0,364000000.0,1548000000.0,1675000000.0,1.57,0.8939,0.0,0.2953,0.2587,0.3847,1.3933,,1.6301,,1.4167,1548000000.0,,1739000000.0,0.0,0.4168,RF
2018-12-31 00:00:00,6356000000.0,602000000.0,5754000000.0,3799000000.0,1955000000.0,,1955000000.0,387000000.0,1568000000.0,1695000000.0,1.55,0.9053,0.0,0.3076,0.2667,0.323,1.36,0.1835,1.6107,0.1933,1.38,1568000000.0,,1759000000.0,0.0,0.3579,RF
2018-09-30 00:00:00,6309000000.0,577000000.0,5732000000.0,3727000000.0,2005000000.0,,2005000000.0,523000000.0,1482000000.0,1624000000.0,1.45,0.9085,0.0,0.3178,0.2574,0.2105,1.24,0.188,1.5116,0.1893,1.26,1482000000.0,205000000.0,1688000000.0,0.0,0.2479,RF
2018-06-30 00:00:00,6172000000.0,522000000.0,5650000000.0,3650000000.0,2000000000.0,,2000000000.0,576000000.0,1424000000.0,1371000000.0,1.2,0.9154,0.0,0.324,0.2221,0.2594,1.17,0.0173,1.2554,0.0173,1.18,1424000000.0,19000000.0,1435000000.0,0.0,0.2924,RF
2018-03-31 00:00:00,6063000000.0,479000000.0,5584000000.0,3602000000.0,1982000000.0,,1982000000.0,620000000.0,1362000000.0,1312000000.0,1.13,0.921,0.0,0.3269,0.2164,0.2459,1.1,,1.1832,,1.11,1362000000.0,,1376000000.0,0.0,0.2835,RF
2017-12-31 00:00:00,5949000000.0,448000000.0,5501000000.0,3641000000.0,1860000000.0,,1860000000.0,619000000.0,1241000000.0,1199000000.0,1.02,0.9247,0.0,0.3127,0.2015,0.354,0.98,0.0268,1.0649,0.0268,0.99,1241000000.0,27000000.0,1263000000.0,0.0,0.3861,RF
2017-09-30 00:00:00,5750000000.0,433000000.0,5317000000.0,3578000000.0,1739000000.0,,1739000000.0,528000000.0,1211000000.0,1159000000.0,0.97,0.9247,0.0,0.3024,0.2016,0.3602,0.95,0.0141,1.0152,0.0142,0.96,1211000000.0,13000000.0,1223000000.0,0.0,0.3977,RF
2017-06-30 00:00:00,5797000000.0,425000000.0,5372000000.0,3612000000.0,1760000000.0,,1760000000.0,542000000.0,1218000000.0,1168000000.0,0.96,0.9267,0.0,0.3036,0.2015,0.3264,0.94,,1.0089,,0.95,1218000000.0,,1232000000.0,0.0,0.3528,RF
2017-03-31 00:00:00,5796000000.0,422000000.0,5374000000.0,3676000000.0,1698000000.0,,1698000000.0,524000000.0,1174000000.0,1127000000.0,0.91,0.9272,0.0,0.293,0.1944,0.3095,0.89,0.0165,0.9634,0.0166,0.9,1174000000.0,17000000.0,1191000000.0,0.0,0.3418,RF
2016-12-31 00:00:00,5825000000.0,416000000.0,5409000000.0,3745000000.0,1664000000.0,,1664000000.0,510000000.0,1154000000.0,1099000000.0,0.87,0.9286,0.0,0.2857,0.1887,0.3387,0.86,0.01,0.9267,0.01,0.87,1154000000.0,9000000.0,1163000000.0,0.0,0.3497,RF
2016-09-30 00:00:00,5935000000.0,409000000.0,5526000000.0,3874000000.0,1652000000.0,,1652000000.0,500000000.0,1152000000.0,1089000000.0,0.85,0.9311,0.0,0.2783,0.1835,0.2736,0.85,0.0009,0.9051,0.0009,0.85,1152000000.0,1000000.0,1153000000.0,0.0,0.3272,RF
2016-06-30 00:00:00,5792000000.0,367000000.0,5425000000.0,3866000000.0,1559000000.0,,1559000000.0,464000000.0,1095000000.0,1027000000.0,0.79,0.9366,0.0,0.2692,0.1773,0.2956,0.8,-0.0029,0.8439,-0.0029,0.8,1095000000.0,-4000000.0,1091000000.0,0.0,0.3584,RF
2016-03-31 00:00:00,5787000000.0,326000000.0,5461000000.0,3876000000.0,1585000000.0,,1585000000.0,473000000.0,1112000000.0,1037000000.0,0.79,0.9437,0.0,0.2739,0.1792,0.2898,0.8,-0.0083,0.84,-0.0083,0.8,1112000000.0,-11000000.0,1101000000.0,0.0,0.3577,RF
2015-12-31 00:00:00,5674000000.0,296000000.0,5378000000.0,3848000000.0,1530000000.0,,1530000000.0,455000000.0,1075000000.0,998000000.0,0.75,0.9478,0.0,0.2697,0.1759,0.2124,0.76,-0.0098,0.8015,-0.0098,0.76,1075000000.0,-13000000.0,1062000000.0,0.0,0.2818,RF
2015-09-30 00:00:00,5595000000.0,273000000.0,5322000000.0,3883000000.0,1439000000.0,,1439000000.0,433000000.0,1006000000.0,929000000.0,0.68,0.9512,0.0,0.2572,0.166,0.3046,0.7,-0.0096,0.7415,-0.0097,0.7,1006000000.0,-13000000.0,993000000.0,0.0,0.3575,RF
2015-06-30 00:00:00,5591000000.0,284000000.0,5307000000.0,3778000000.0,1529000000.0,,1529000000.0,468000000.0,1061000000.0,987000000.0,0.72,0.9492,0.0,0.2735,0.1765,0.3237,0.72,-0.0044,0.7781,-0.0045,0.73,1061000000.0,-6000000.0,1055000000.0,0.0,0.3633,RF
2015-03-31 00:00:00,5493000000.0,298000000.0,5195000000.0,3636000000.0,1559000000.0,,1559000000.0,492000000.0,1067000000.0,1006000000.0,0.73,0.9457,0.0,0.2838,0.1831,0.318,0.73,-0.0007,0.7794,-0.0008,0.74,1067000000.0,-1000000.0,1066000000.0,0.0,0.3646,RF
2014-12-31 00:00:00,5492000000.0,309000000.0,5183000000.0,3501000000.0,1682000000.0,,1682000000.0,548000000.0,1134000000.0,1095000000.0,0.8,0.9437,0.0,0.3063,0.1994,0.3358,0.78,0.0094,0.8342,0.0094,0.79,1134000000.0,13000000.0,1147000000.0,0.0,0.3836,RF
2014-09-30 00:00:00,5645000000.0,320000000.0,5325000000.0,3549000000.0,1776000000.0,,1776000000.0,651000000.0,1125000000.0,1083000000.0,0.82,0.9433,0.0,0.3146,0.1919,0.3275,0.78,0.0008,0.8189,0.0009,0.78,1125000000.0,2000000.0,1127000000.0,0.0,0.375,RF
2014-06-30 00:00:00,5657000000.0,331000000.0,5326000000.0,3601000000.0,1725000000.0,,1725000000.0,624000000.0,1101000000.0,1068000000.0,0.81,0.9415,0.0,0.3049,0.1888,0.3732,0.77,-0.0021,0.7978,-0.002,0.77,1101000000.0,-1000000.0,1100000000.0,0.0,0.4103,RF
2014-03-31 00:00:00,5686000000.0,353000000.0,5333000000.0,3661000000.0,1672000000.0,,1672000000.0,598000000.0,1074000000.0,1039000000.0,0.78,0.9379,0.0,0.2941,0.1827,0.5005,0.74,-0.0014,0.7736,-0.0013,0.75,1074000000.0,-3000000.0,1071000000.0,0.0,0.5339,RF
2013-12-31 00:00:00,5743000000.0,384000000.0,5359000000.0,3694000000.0,1665000000.0,,1665000000.0,561000000.0,1104000000.0,1059000000.0,0.78,0.9331,0.0,0.2899,0.1844,0.6197,0.76,-0.0088,0.7821,-0.0088,0.77,1104000000.0,-13000000.0,1091000000.0,0.0,0.6521,RF
2013-09-30 00:00:00,5706000000.0,429000000.0,5277000000.0,3608000000.0,1669000000.0,,1669000000.0,498000000.0,1171000000.0,1132000000.0,0.8,0.9248,0.0,0.2925,0.1984,0.558,0.81,,0.8306,,0.83,1171000000.0,-11000000.0,1160000000.0,0.0,0.591,RF
2013-06-30 00:00:00,5797000000.0,489000000.0,5308000000.0,3608000000.0,1700000000.0,,1700000000.0,510000000.0,1190000000.0,1148000000.0,0.8,0.9156,0.0,0.2933,0.198,0.5863,0.83,-0.0081,0.8324,-0.0081,0.84,1190000000.0,-22000000.0,1168000000.0,0.0,0.616,RF
2013-03-31 00:00:00,5894000000.0,546000000.0,5348000000.0,3561000000.0,1787000000.0,,1787000000.0,514000000.0,1273000000.0,1173000000.0,0.82,0.9074,0.0,0.3032,0.199,0.4479,0.85,-0.0074,0.8929,-0.0074,0.85,1273000000.0,-17000000.0,1256000000.0,0.0,0.4778,RF
2012-12-31 00:00:00,6003000000.0,603000000.0,5400000000.0,3739000000.0,1661000000.0,,1661000000.0,482000000.0,1179000000.0,991000000.0,0.7,0.8996,0.0,0.2767,0.1651,0.3766,0.76,-0.04,0.811,-0.04,0.76,1179000000.0,-59000000.0,1120000000.0,0.0,0.4066,RF
