CEO,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,total,Revenue,Net Income Common,salary/revenue,bonus/revenue,stockAwards/revenue,optionAwards/revenue,nonEquityIncentiveCompensation/revenue,all_Equity_Awards
True,4425000,0,15396628,4986126,7244439,32771999,63990750000.0,-384250000.0,6.915061942546384e-05,0.0,0.0002406070877431504,7.791948054992323e-05,0.00011321072186214414,20382754
True,14411000,46497616,8272062,24816677,25395842,145173364,227040750000.0,33663500000.0,6.347318708205465e-05,0.00020479854827822757,3.643426125045834e-05,0.00010930494635874837,0.00011185587609272784,33088739
False,7241006,8584224,4223487,7565785,6173657,52527083,274925000000.0,39754750000.0,2.633811403109939e-05,3.122387560243703e-05,1.5362324270255524e-05,2.751945075929799e-05,2.2455786123488223e-05,11789272
False,7190549,50000,24088791,0,9251964,48360815,107550524000.0,5129100250.0,6.68574055482984e-05,4.648977814371225e-07,0.00022397650986805047,0.0,8.602435075072252e-05,24088791
True,14675577,0,68575623,0,25900073,131334558,165375304250.0,7524510750.0,8.874104308715126e-05,0.0,0.00041466664754450484,0.0,0.00015661390990305617,68575623
True,14850000,0,19339829,7824686,34693750,94393119,73540400200.0,6294300000.0,0.0002019298230579931,0.0,0.00026298237359877733,0.00010639982892015864,0.00047176449823018503,27164515
False,9700000,500000,8552188,3376535,14875000,44554908,61848250200.0,5394625000.0,0.0001568354798823395,8.084303086718531e-06,0.00013827695969319435,5.459386464582631e-05,0.0002405080168298763,11928723
True,806185,0,94143510,3262949,5302416,103654082,25426624150.0,3494508750.0,3.170633251366954e-05,0.0,0.003702556400905466,0.00012832804625383194,0.00020853794702432017,97406459
False,4342113,0,20741806,1140364,3857815,30090559,24548300950.0,3610196750.0,0.00017688038813130162,0.0,0.000844938557753831,4.645388706626558e-05,0.0001571520166653326,21882170
True,11353244,0,36696583,12230140,13935109,92245067,38998981325.0,5196096250.0,0.0002911164244365042,0.0,0.0009409626034635919,0.00031360152456494963,0.0003573198203273839,48926723
False,5237597,0,7928847,2617585,3460296,22291076,28924412700.0,3806181250.0,0.00018107876741780827,0.0,0.00027412300751745257,9.049742952948531e-05,0.0001196323685424389,10546432
False,4485880,150000,24327370,0,4906954,37171503,16453608250.0,4151418750.0,0.00027263807013273216,9.116541351955429e-06,0.0014785431639287997,0.0,0.0002982296603542873,24327370
