Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin
99181000000.0,34695000000.0,64486000000.0,13505000000.0,20657000000.0,30018000000.0,,1040000000.0,2457000000.0,31058000000.0,4660000000.0,26398000000.0,26398000000.0,2.98,0.6502,0.3027,0.3131,0.2662,0.3257,39479000000.0,30018000000.0,3.3782,3.4162,3.4162,26398000000.0,26398000000.0,0.3981,0.4073
96571000000.0,34261000000.0,62310000000.0,13037000000.0,19942000000.0,29025000000.0,,876000000.0,2222000000.0,29901000000.0,4412000000.0,25489000000.0,25489000000.0,2.73,0.6452,0.3006,0.3096,0.2639,0.3249,37803000000.0,29025000000.0,3.2545,3.2907,3.2907,25489000000.0,25489000000.0,0.3915,0.4091
97414000000.0,33784000000.0,63630000000.0,12669000000.0,19532000000.0,30319000000.0,,859000000.0,1912000000.0,31178000000.0,6895000000.0,24283000000.0,24283000000.0,2.29,0.6532,0.3112,0.3201,0.2493,0.2922,39294000000.0,30319000000.0,3.0853,3.1187,3.1187,24283000000.0,24283000000.0,0.4034,0.3795
94733000000.0,33446000000.0,61287000000.0,12294000000.0,19004000000.0,28879000000.0,,241000000.0,1643000000.0,29120000000.0,6567000000.0,22553000000.0,22553000000.0,2.15,0.6469,0.3048,0.3074,0.2381,0.2909,37108000000.0,28879000000.0,2.8535,2.8842,2.8842,22553000000.0,22553000000.0,0.3917,0.3871
92703000000.0,33417000000.0,59286000000.0,12132000000.0,19044000000.0,27000000000.0,,-47000000.0,1431000000.0,26953000000.0,5649000000.0,21304000000.0,21304000000.0,2.11,0.6395,0.2913,0.2907,0.2298,0.2896,34607000000.0,27000000000.0,2.6764,2.7062,2.7062,21304000000.0,21304000000.0,0.3733,0.3883
91154000000.0,32780000000.0,58374000000.0,11988000000.0,19198000000.0,26078000000.0,,-439000000.0,1243000000.0,25639000000.0,5100000000.0,20539000000.0,20539000000.0,2.09,0.6404,0.2861,0.2813,0.2253,0.2741,33330000000.0,26078000000.0,2.5633,2.5917,2.5917,20539000000.0,20539000000.0,0.3656,0.3656
86886000000.0,32269000000.0,54617000000.0,11936000000.0,19194000000.0,15049000000.0,,-401000000.0,1145000000.0,14648000000.0,4167000000.0,10481000000.0,10481000000.0,1.29,0.6286,0.1732,0.1686,0.1206,0.279,28752000000.0,15049000000.0,1.3218,1.3367,1.3367,10481000000.0,10481000000.0,0.3309,0.365
88084000000.0,31708000000.0,56376000000.0,11940000000.0,19448000000.0,16360000000.0,,-231000000.0,1016000000.0,16129000000.0,4419000000.0,11710000000.0,11710000000.0,1.42,0.64,0.1857,0.1831,0.1329,0.2829,29871000000.0,16360000000.0,1.4566,1.4714,1.4714,11710000000.0,11710000000.0,0.3391,0.3572
90758000000.0,31972000000.0,58786000000.0,11943000000.0,19862000000.0,18110000000.0,,14000000.0,869000000.0,18124000000.0,5569000000.0,12555000000.0,12555000000.0,1.5,0.6477,0.1995,0.1997,0.1383,0.2663,31598000000.0,18110000000.0,1.5399,1.5539,1.5539,12555000000.0,12555000000.0,0.3482,0.3326
93580000000.0,33038000000.0,60542000000.0,12046000000.0,20324000000.0,18161000000.0,,346000000.0,781000000.0,18507000000.0,6314000000.0,12193000000.0,12193000000.0,1.47,0.647,0.1941,0.1978,0.1303,0.2535,31616000000.0,18161000000.0,1.4771,1.4912,1.4912,12193000000.0,12193000000.0,0.3378,0.317
94782000000.0,33203000000.0,61579000000.0,12075000000.0,21108000000.0,26696000000.0,,144000000.0,703000000.0,26840000000.0,6840000000.0,20000000000.0,20000000000.0,2.43,0.6497,0.2817,0.2832,0.211,0.286,32902000000.0,26696000000.0,2.4042,2.4335,2.4335,20000000000.0,20000000000.0,0.3471,0.344
93456000000.0,32020000000.0,61436000000.0,11834000000.0,21016000000.0,27076000000.0,,204000000.0,667000000.0,27280000000.0,6605000000.0,20675000000.0,20675000000.0,2.5,0.6574,0.2897,0.2919,0.2212,0.2919,33022000000.0,27076000000.0,2.4755,2.5063,2.5063,20675000000.0,20675000000.0,0.3533,0.3486
91505000000.0,30206000000.0,61299000000.0,11679000000.0,21084000000.0,27269000000.0,,39000000.0,640000000.0,27308000000.0,5938000000.0,21370000000.0,21370000000.0,2.58,0.6699,0.298,0.2984,0.2335,0.2963,32955000000.0,27269000000.0,2.5501,2.5814,2.5814,21370000000.0,21370000000.0,0.3601,0.3568
86833000000.0,27078000000.0,59755000000.0,11381000000.0,20488000000.0,27759000000.0,,61000000.0,597000000.0,27820000000.0,5746000000.0,22074000000.0,22074000000.0,2.66,0.6882,0.3197,0.3204,0.2542,0.3111,32971000000.0,27759000000.0,2.6283,2.6599,2.6599,22074000000.0,22074000000.0,0.3797,0.3743
83347000000.0,25183000000.0,58164000000.0,11041000000.0,19773000000.0,27350000000.0,,38000000.0,548000000.0,27388000000.0,4961000000.0,22427000000.0,22427000000.0,2.69,0.6979,0.3281,0.3286,0.2691,0.272,31803000000.0,27350000000.0,2.6614,2.6947,2.6947,22427000000.0,22427000000.0,0.3816,0.3434
83433000000.0,23992000000.0,59441000000.0,10938000000.0,20515000000.0,27988000000.0,,46000000.0,482000000.0,28034000000.0,5212000000.0,22822000000.0,22822000000.0,2.73,0.7124,0.3355,0.336,0.2735,0.2697,32239000000.0,27988000000.0,2.7033,2.7354,2.7354,22822000000.0,22822000000.0,0.3864,0.3378
80370000000.0,21362000000.0,59008000000.0,10718000000.0,20500000000.0,27790000000.0,,136000000.0,452000000.0,27926000000.0,5285000000.0,22641000000.0,22641000000.0,2.7,0.7342,0.3458,0.3475,0.2817,0.2945,31789000000.0,27790000000.0,2.6773,2.7075,2.7075,22641000000.0,22641000000.0,0.3955,0.3553
77849000000.0,20385000000.0,57464000000.0,10411000000.0,20289000000.0,26764000000.0,,288000000.0,429000000.0,27052000000.0,5189000000.0,21863000000.0,21863000000.0,2.6,0.7381,0.3438,0.3475,0.2808,0.3157,30519000000.0,26764000000.0,2.5813,2.6105,2.6105,21863000000.0,21863000000.0,0.392,0.3704
76012000000.0,18810000000.0,57202000000.0,10222000000.0,19904000000.0,20883000000.0,,383000000.0,405000000.0,21266000000.0,4860000000.0,16406000000.0,16406000000.0,1.95,0.7525,0.2747,0.2798,0.2158,0.3621,30645000000.0,20883000000.0,1.9359,1.9576,1.9576,16406000000.0,16406000000.0,0.4032,0.4027
72930000000.0,17975000000.0,54955000000.0,10099000000.0,19018000000.0,19645000000.0,,381000000.0,391000000.0,20026000000.0,4567000000.0,15459000000.0,15459000000.0,1.84,0.7535,0.2694,0.2746,0.212,0.5629,29120000000.0,19645000000.0,1.8186,1.8417,1.8417,15459000000.0,15459000000.0,0.3993,0.6155
