Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-09-30 00:00:00,4301000000.0,3334000000.0,967000000.0,15000000.0,339000000.0,527000000.0,-307000000.0,339000000.0,220000000.0,-103000000.0,323000000.0,569000000.0,1.1,0.2248,0.1225,0.0512,0.1323,0.1407,1011000000.0,527000000.0,0.5915,2.26,1.1066,2.26,0.603,323000000.0,1256000000.0,613000000.0,0.2351,0.2467,WY
2015-06-30 00:00:00,4861000000.0,3765000000.0,1096000000.0,16000000.0,361000000.0,679000000.0,-310000000.0,340000000.0,369000000.0,-20000000.0,389000000.0,1542000000.0,2.92,0.2255,0.1397,0.0759,0.3172,0.143,1168000000.0,679000000.0,0.7115,2.18,2.9235,2.19,0.713,389000000.0,1219000000.0,1586000000.0,0.2403,0.2329,WY
2015-03-31 00:00:00,5480000000.0,4207000000.0,1273000000.0,18000000.0,389000000.0,879000000.0,-306000000.0,338000000.0,573000000.0,40000000.0,533000000.0,1689000000.0,3.14,0.2323,0.1604,0.1046,0.3082,0.1181,1376000000.0,879000000.0,0.9215,,3.1413,,0.933,533000000.0,,1733000000.0,0.2511,0.1984,WY
2014-12-31 00:00:00,5489000000.0,4183000000.0,1306000000.0,20000000.0,403000000.0,987000000.0,-300000000.0,338000000.0,687000000.0,71000000.0,616000000.0,1782000000.0,3.28,0.2379,0.1798,0.1252,0.3246,0.1352,1487000000.0,987000000.0,1.02,2.16,3.28,2.17,1.03,616000000.0,1210000000.0,1826000000.0,0.2709,0.202,WY
2014-09-30 00:00:00,7187000000.0,5615000000.0,1572000000.0,29000000.0,435000000.0,868000000.0,-325000000.0,367000000.0,543000000.0,-124000000.0,667000000.0,1659000000.0,3.03,0.2187,0.1208,0.0756,0.2308,0.108,1372000000.0,868000000.0,1.0686,1.93,3.1018,1.95,1.0759,667000000.0,1036000000.0,1703000000.0,0.1909,0.1575,WY
2014-06-30 00:00:00,7129000000.0,5590000000.0,1539000000.0,32000000.0,464000000.0,793000000.0,-317000000.0,373000000.0,476000000.0,-139000000.0,615000000.0,663000000.0,1.13,0.2159,0.1112,0.0668,0.093,0.1112,1294000000.0,793000000.0,0.9486,0.17,1.2,0.17,0.9559,615000000.0,91000000.0,706000000.0,0.1815,0.1574,WY
2014-03-31 00:00:00,7039000000.0,5544000000.0,1495000000.0,33000000.0,476000000.0,686000000.0,-317000000.0,370000000.0,369000000.0,-162000000.0,531000000.0,579000000.0,1.0,0.2124,0.0975,0.0524,0.0823,0.1274,1172000000.0,686000000.0,0.8486,0.15,1.0616,0.15,0.8459,531000000.0,82000000.0,613000000.0,0.1665,0.1668,WY
2013-12-31 00:00:00,7254000000.0,5716000000.0,1538000000.0,33000000.0,529000000.0,634000000.0,-314000000.0,369000000.0,320000000.0,-171000000.0,491000000.0,540000000.0,0.95,0.212,0.0874,0.0441,0.0744,0.1008,1106000000.0,634000000.0,0.82,0.1281,0.994,0.1281,0.82,491000000.0,96000000.0,563000000.0,0.1525,0.1384,WY
2013-09-30 00:00:00,6612000000.0,5228000000.0,1384000000.0,32000000.0,476000000.0,931000000.0,-290000000.0,340000000.0,641000000.0,96000000.0,545000000.0,640000000.0,1.14,0.2093,0.1408,0.0969,0.0968,0.1025,1392000000.0,931000000.0,0.9541,0.0981,1.1715,0.0981,0.9546,545000000.0,45000000.0,651000000.0,0.2105,0.1373,WY
2013-06-30 00:00:00,6527000000.0,5173000000.0,1354000000.0,32000000.0,502000000.0,890000000.0,-289000000.0,333000000.0,601000000.0,85000000.0,516000000.0,600000000.0,1.09,0.2074,0.1364,0.0921,0.0919,0.0671,1343000000.0,890000000.0,0.9398,0.0381,1.102,0.0381,0.9416,516000000.0,25000000.0,601000000.0,0.2058,0.1053,WY
2013-03-31 00:00:00,6446000000.0,5236000000.0,1210000000.0,32000000.0,517000000.0,773000000.0,-292000000.0,339000000.0,481000000.0,66000000.0,415000000.0,488000000.0,0.9,0.1877,0.1199,0.0746,0.0757,0.0482,1228000000.0,773000000.0,0.7653,,0.9,,0.7677,415000000.0,,487000000.0,0.1905,0.09,WY
2012-12-31 00:00:00,5989000000.0,4993000000.0,996000000.0,32000000.0,498000000.0,618000000.0,-296000000.0,344000000.0,322000000.0,10000000.0,312000000.0,385000000.0,0.72,0.1663,0.1032,0.0538,0.0643,0.0494,1074000000.0,618000000.0,0.5799,,0.7122,,0.5799,312000000.0,,384000000.0,0.1793,0.097,WY
