Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2020-03-31 00:00:00,7145000000.0,1548000000.0,5597000000.0,890000000.0,2650000000.0,1742000000.0,-181000000.0,1561000000.0,213000000.0,1348000000.0,4680000000.0,6.06,0.7833,0.2438,0.2185,0.655,0.3822,2321000000.0,1742000000.0,1.68,4.3478,6.0593,4.3678,1.68,1348000000.0,3332000000.0,4680000000.0,0.3248,0.4417,EBAY
2019-12-31 00:00:00,7429000000.0,1585000000.0,5844000000.0,930000000.0,2854000000.0,1770000000.0,-118000000.0,1652000000.0,219000000.0,1433000000.0,1786000000.0,2.11,0.7866,0.2383,0.2224,0.2404,0.3508,2370000000.0,1770000000.0,1.68,0.41,2.1037,0.41,1.69,1433000000.0,353000000.0,1786000000.0,0.319,0.4192,EBAY
2019-09-30 00:00:00,7700000000.0,1881000000.0,5819000000.0,868000000.0,2925000000.0,1770000000.0,-293000000.0,1477000000.0,-12000000.0,1489000000.0,1990000000.0,2.22,0.7557,0.2299,0.1918,0.2584,0.3948,2355000000.0,1770000000.0,1.66,0.5195,2.2077,0.5294,1.69,1489000000.0,501000000.0,1990000000.0,0.3058,0.4592,EBAY
2019-06-30 00:00:00,8266000000.0,1959000000.0,6307000000.0,932000000.0,3198000000.0,1918000000.0,241000000.0,2159000000.0,160000000.0,1999000000.0,2401000000.0,2.59,0.763,0.232,0.2612,0.2905,0.3014,2534000000.0,1918000000.0,2.14,0.4005,2.5744,0.4104,2.18,1999000000.0,402000000.0,2401000000.0,0.3066,0.3732,EBAY
2019-03-31 00:00:00,8483000000.0,2003000000.0,6480000000.0,989000000.0,3460000000.0,1766000000.0,593000000.0,2359000000.0,122000000.0,2237000000.0,2641000000.0,2.76,0.7639,0.2082,0.2781,0.3113,0.2438,2384000000.0,1766000000.0,2.32,0.4022,2.7542,0.4121,2.35,2237000000.0,404000000.0,2641000000.0,0.281,0.3198,EBAY
2018-12-31 00:00:00,8650000000.0,2023000000.0,6627000000.0,1051000000.0,3555000000.0,1752000000.0,497000000.0,2249000000.0,121000000.0,2128000000.0,2530000000.0,2.58,0.7661,0.2025,0.26,0.2925,0.2353,2387000000.0,1752000000.0,2.15,0.3861,2.5816,0.3961,2.17,2128000000.0,402000000.0,2530000000.0,0.276,0.3073,EBAY
2018-09-30 00:00:00,10576000000.0,2354000000.0,8222000000.0,1310000000.0,4380000000.0,2204000000.0,559000000.0,2763000000.0,3595000000.0,-832000000.0,-831000000.0,-0.73,0.7774,0.2084,0.2613,-0.0786,0.1607,2900000000.0,2204000000.0,-0.6292,-0.0133,-0.6377,-0.0132,-0.6457,-832000000.0,-7000000.0,-831000000.0,0.2742,0.2282,EBAY
2018-06-30 00:00:00,10425000000.0,2303000000.0,8122000000.0,1319000000.0,4253000000.0,2222000000.0,287000000.0,2509000000.0,3541000000.0,-1032000000.0,-1032000000.0,-0.98,0.7791,0.2131,0.2407,-0.099,0.1958,2916000000.0,2222000000.0,-0.8792,-0.016,-0.8883,-0.0159,-0.8957,-1032000000.0,-13000000.0,-1032000000.0,0.2797,0.2621,EBAY
2018-03-31 00:00:00,10204000000.0,2266000000.0,7938000000.0,1280000000.0,4041000000.0,2296000000.0,-32000000.0,2264000000.0,3905000000.0,-1641000000.0,-1645000000.0,-1.59,0.7779,0.225,0.2219,-0.1612,0.2323,2988000000.0,2296000000.0,-1.4892,,-1.5085,,-1.5057,-1641000000.0,-19000000.0,-1645000000.0,0.2928,0.2998,EBAY
2017-12-31 00:00:00,9927000000.0,2221000000.0,7706000000.0,1224000000.0,3908000000.0,2264000000.0,11000000.0,2275000000.0,3288000000.0,-1013000000.0,-1017000000.0,-1.03,0.7763,0.2281,0.2292,-0.1024,0.2498,2940000000.0,2264000000.0,-0.95,,-0.9558,,-0.95,-1013000000.0,,-1017000000.0,0.2962,0.3169,EBAY
2017-09-30 00:00:00,9934000000.0,2167000000.0,7767000000.0,1199000000.0,4039000000.0,2239000000.0,1479000000.0,3718000000.0,-3814000000.0,7532000000.0,7520000000.0,6.85,0.7819,0.2254,0.3743,0.757,0.2182,2919000000.0,2239000000.0,6.6672,,6.7225,,6.7398,7532000000.0,,7520000000.0,0.2938,0.2796,EBAY
2017-06-30 00:00:00,9653000000.0,2108000000.0,7545000000.0,1171000000.0,3890000000.0,2207000000.0,1350000000.0,3557000000.0,-3873000000.0,7430000000.0,7413000000.0,6.73,0.7816,0.2286,0.3685,0.7679,0.2139,2886000000.0,2207000000.0,6.5472,,6.5997,,6.6198,7430000000.0,,7413000000.0,0.299,0.28,EBAY
2017-03-31 00:00:00,9464000000.0,2041000000.0,7423000000.0,1153000000.0,3736000000.0,2258000000.0,1360000000.0,3618000000.0,-4220000000.0,7838000000.0,7819000000.0,7.08,0.7843,0.2386,0.3823,0.8262,0.2287,2936000000.0,2258000000.0,6.8972,,6.9529,,6.9698,7838000000.0,,7819000000.0,0.3102,0.2924,EBAY
2016-12-31 00:00:00,9298000000.0,2004000000.0,7294000000.0,1114000000.0,3590000000.0,2325000000.0,1326000000.0,3651000000.0,-3634000000.0,7285000000.0,7266000000.0,6.54,0.7845,0.2501,0.3927,0.7815,0.2366,3007000000.0,2325000000.0,6.37,-0.06,6.4131,-0.0599,6.43,7285000000.0,-65000000.0,7266000000.0,0.3234,0.3039,EBAY
2016-09-30 00:00:00,8906000000.0,1961000000.0,6945000000.0,1051000000.0,3266000000.0,2349000000.0,-52000000.0,2297000000.0,437000000.0,1860000000.0,1807000000.0,1.57,0.7798,0.2638,0.2579,0.2029,0.295,3026000000.0,2349000000.0,1.582,-0.051,1.5634,-0.0511,1.6059,1860000000.0,-59000000.0,1807000000.0,0.3398,0.3645,EBAY
2016-06-30 00:00:00,8788000000.0,1896000000.0,6892000000.0,1004000000.0,3214000000.0,2385000000.0,44000000.0,2429000000.0,442000000.0,1987000000.0,1933000000.0,1.65,0.7843,0.2714,0.2764,0.22,0.2792,3072000000.0,2385000000.0,1.672,-0.3266,1.6421,-0.3267,1.6859,1987000000.0,-401000000.0,1933000000.0,0.3496,0.3562,EBAY
2016-03-31 00:00:00,8668000000.0,1837000000.0,6831000000.0,941000000.0,3315000000.0,2282000000.0,176000000.0,2458000000.0,478000000.0,1980000000.0,1581000000.0,1.34,0.7881,0.2633,0.2836,0.1824,0.3222,2976000000.0,2282000000.0,1.642,,1.3301,,1.6559,1980000000.0,,1581000000.0,0.3433,0.4064,EBAY
2015-12-31 00:00:00,8592000000.0,1771000000.0,6821000000.0,923000000.0,3389000000.0,2197000000.0,209000000.0,2406000000.0,459000000.0,1947000000.0,1725000000.0,1.43,0.7939,0.2557,0.28,0.2008,0.3916,2884000000.0,2197000000.0,1.6,-0.1849,1.429,-0.185,1.61,1947000000.0,-222000000.0,1725000000.0,0.3357,0.4694,EBAY
2015-09-30 00:00:00,8593000000.0,1720000000.0,6873000000.0,930000000.0,3372000000.0,2266000000.0,228000000.0,2494000000.0,341000000.0,2153000000.0,2271000000.0,1.79,0.7998,0.2637,0.2902,0.2643,0.4533,2946000000.0,2266000000.0,1.76,0.0851,1.8602,0.095,1.76,2153000000.0,118000000.0,2271000000.0,0.3428,0.5393,EBAY
2015-06-30 00:00:00,8644000000.0,1700000000.0,6944000000.0,935000000.0,3427000000.0,2284000000.0,158000000.0,2442000000.0,325000000.0,2117000000.0,2405000000.0,1.88,0.8033,0.2642,0.2825,0.2782,0.5574,2685000000.0,2284000000.0,1.72,0.22,1.9566,0.23,1.72,2117000000.0,288000000.0,2405000000.0,0.3106,0.615,EBAY
2015-03-31 00:00:00,10637000000.0,2447000000.0,8190000000.0,1171000000.0,3819000000.0,2710000000.0,44000000.0,2754000000.0,347000000.0,2407000000.0,2998000000.0,2.35,0.77,0.2548,0.2589,0.2818,0.4834,3170000000.0,2710000000.0,1.94,0.46,2.4258,0.48,1.94,2407000000.0,591000000.0,2998000000.0,0.298,0.5315,EBAY
2014-12-31 00:00:00,12838000000.0,3387000000.0,9451000000.0,1430000000.0,4268000000.0,3059000000.0,29000000.0,3088000000.0,3456000000.0,-368000000.0,46000000.0,0.02,0.7362,0.2383,0.2405,0.0036,0.3938,3741000000.0,3059000000.0,-0.2529,,0.0881,,-0.2529,-368000000.0,,46000000.0,0.2914,0.4422,EBAY
2014-09-30 00:00:00,15045000000.0,4394000000.0,10651000000.0,1644000000.0,4728000000.0,3350000000.0,28000000.0,3378000000.0,3269000000.0,109000000.0,-127000000.0,-0.08,0.7079,0.2227,0.2245,-0.0084,0.3734,3495000000.0,3350000000.0,0.0777,,0.1877,,0.0884,109000000.0,,229000000.0,0.2323,0.3821,EBAY
2014-06-30 00:00:00,16787000000.0,5205000000.0,11582000000.0,1831000000.0,5071000000.0,3553000000.0,85000000.0,3638000000.0,3349000000.0,289000000.0,-111000000.0,-0.09,0.6899,0.2117,0.2167,-0.0066,0.3138,4152000000.0,3553000000.0,0.1937,,0.1778,,0.2104,289000000.0,,245000000.0,0.2473,0.3404,EBAY
2014-03-31 00:00:00,16561000000.0,5235000000.0,11326000000.0,1814000000.0,4928000000.0,3449000000.0,81000000.0,3530000000.0,3321000000.0,209000000.0,-147000000.0,-0.14,0.6839,0.2083,0.2132,-0.0089,0.2806,4162000000.0,3449000000.0,0.1111,,0.1338,,0.1338,209000000.0,,209000000.0,0.2513,0.3159,EBAY
2013-12-31 00:00:00,16047000000.0,5036000000.0,11011000000.0,1768000000.0,4763000000.0,3371000000.0,95000000.0,3466000000.0,254000000.0,3212000000.0,2856000000.0,2.2,0.6862,0.2101,0.216,0.178,0.269,4031000000.0,3371000000.0,2.4473,,2.4795,,2.4795,3212000000.0,,3212000000.0,0.2512,0.3113,EBAY
2013-09-30 00:00:00,15509000000.0,4810000000.0,10699000000.0,1734000000.0,4693000000.0,3223000000.0,92000000.0,3315000000.0,306000000.0,3009000000.0,2757000000.0,2.12,0.6899,0.2078,0.2137,0.1778,0.2194,4574000000.0,3223000000.0,2.2877,,2.3233,,2.3233,3009000000.0,,3009000000.0,0.2949,0.3009,EBAY
2013-06-30 00:00:00,15021000000.0,4608000000.0,10413000000.0,1690000000.0,4618000000.0,3091000000.0,23000000.0,3114000000.0,197000000.0,2917000000.0,2665000000.0,2.05,0.6932,0.2058,0.2073,0.1774,0.2115,4396000000.0,3091000000.0,2.216,,2.2534,,2.2534,2917000000.0,,2917000000.0,0.2927,0.2987,EBAY
2013-03-31 00:00:00,14542000000.0,4384000000.0,10158000000.0,1633000000.0,4535000000.0,3036000000.0,173000000.0,3209000000.0,240000000.0,2969000000.0,2717000000.0,2.1,0.6985,0.2088,0.2207,0.1868,0.2015,4284000000.0,3036000000.0,2.2572,,2.296,,2.296,2969000000.0,,2969000000.0,0.2946,0.2918,EBAY
2012-12-31 00:00:00,14071000000.0,4215000000.0,9856000000.0,1573000000.0,4479000000.0,2889000000.0,195000000.0,3084000000.0,222000000.0,2862000000.0,2610000000.0,2.02,0.7004,0.2053,0.2192,0.1855,0.1834,4089000000.0,2889000000.0,2.1797,,2.2157,,2.2157,2862000000.0,,2862000000.0,0.2906,0.2728,EBAY
